COUNTY,Area (sq mi),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alameda             ,738,"1,117,800","1,134,000","1,151,800","1,170,400","1,185,500","1,206,900","1,220,600","1,242,300","1,261,200","1,276,702","1,284,782","1,302,709","1,318,127","1,327,526","1,333,031","1,340,509","1,361,330","1,389,000","1,412,315","1,443,939","1,457,185","1,467,063","1,467,892","1,466,407","1,462,736","1,462,371","1,470,622","1,484,085","1,497,799","1,510,271","1,527,169","1,549,193","1,575,139","1,597,747","1,622,205","1,641,983","1,656,919","1,666,247","1,675,964","1,681,337","1,655,767","1,645,265","1,644,199","1,644,569"
Alpine              ,739,"1,090","1,100","1,120","1,080","1,100","1,140","1,130","1,100","1,090","1,113","1,107","1,126","1,131","1,125","1,145","1,192","1,225","1,215","1,182","1,208","1,220","1,242","1,248","1,257","1,237","1,232","1,252","1,228","1,194","1,175","1,174","1,176","1,180","1,185","1,190","1,196","1,201","1,205","1,201","1,204","1,181","1,177","1,166","1,163"
Amador              ,606,"19,800","20,250","20,600","21,050","21,800","22,450","23,300","25,750","27,600","30,039","31,049","31,908","32,535","33,044","33,293","33,603","34,149","34,295","34,433","35,100","35,495","36,159","36,656","36,961","37,434","37,843","38,025","37,975","37,884","38,091","37,089","37,272","37,044","37,089","37,453","37,663","38,807","39,708","40,227","40,426","40,224","40,073","40,028","39,893"
Butte               ,1604,"146,800","150,700","153,800","156,600","159,700","163,000","166,200","170,800","175,200","182,120","185,393","189,133","191,758","194,067","196,394","197,611","198,696","200,017","201,022","203,171","204,591","206,942","209,389","211,419","212,955","214,690","216,401","217,801","218,887","220,000","221,377","222,623","224,391","225,737","227,400","228,198","230,412","231,774","227,263","216,090","206,058","206,183","205,741","206,194"
Calaveras           ,1020,"21,350","22,250","23,200","23,850","24,650","25,550","26,800","28,200","29,700","31,998","33,480","35,216","36,332","37,170","37,979","38,480","39,264","39,804","39,983","40,554","41,042","41,773","42,651","43,554","44,348","45,044","45,477","45,670","45,632","45,578","45,561","45,544","45,499","45,461","45,395","45,402","45,355","45,367","45,324","45,290","45,013","44,771","44,616","44,436"
Colusa              ,1151,"13,000","13,500","13,900","14,050","14,300","14,700","14,800","15,100","15,600","16,275","16,497","16,838","17,151","17,437","17,694","17,990","18,304","18,459","18,526","18,804","18,974","19,229","19,538","19,933","20,374","20,729","21,006","21,145","21,221","21,419","21,362","21,301","21,418","21,442","21,338","21,531","21,773","21,808","21,745","21,811","21,899","21,902","21,981","22,016"
Contra Costa        ,720,"662,900","672,900","684,300","694,100","704,600","718,500","733,400","750,900","772,900","803,732","814,985","832,229","848,587","860,963","869,176","878,070","892,630","910,831","928,482","948,816","962,076","974,657","984,256","993,958","1,001,216","1,007,169","1,015,672","1,027,264","1,038,390","1,049,025","1,061,578","1,075,165","1,090,305","1,104,732","1,120,530","1,136,478","1,147,957","1,155,105","1,161,077","1,164,844","1,159,660","1,150,950","1,148,745","1,148,324"
Del Norte,1008,"18,600","18,800","18,800","18,850","18,950","19,300","19,750","20,450","20,600","23,460","25,488","26,915","27,427","27,707","27,843","27,823","28,214","28,309","27,742","27,507","27,434","27,517","27,744","28,029","28,251","28,296","28,378","28,526","28,565","28,610","28,191","28,193","27,752","27,341","26,973","26,960","27,158","27,269","27,567","27,702","27,352","26,513","26,320","26,607"
El Dorado           ,1712,"87,900","90,900","92,800","94,200","97,200","100,900","105,200","110,800","116,800","125,995","130,181","134,898","138,788","141,843","143,863","145,949","148,373","150,857","153,232","156,299","160,079","163,300","166,195","168,984","171,739","174,218","176,226","177,897","179,150","181,058","180,887","180,121","179,663","180,132","180,914","181,630","182,695","185,303","186,714","190,202","191,671","190,259","189,355","189,079"
Fresno              ,5963,"523,200","535,500","548,900","563,700","577,300","588,300","601,300","618,400","638,500","667,490","682,755","705,720","723,413","735,807","748,424","761,143","770,597","777,563","785,020","799,407","808,611","821,809","837,256","853,057","866,058","879,128","893,088","906,521","918,560","930,450","938,507","945,656","953,114","959,645","968,417","975,622","983,436","992,091","1,000,679","1,006,557","1,010,004","1,013,642","1,017,152","1,019,566"
