"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","7","7,093","4.70"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","3","679","0.45"
"Alliance of Baptists","Mainline Protestant","Baptist Family","3","",""
"American Baptist Association","Evangelical Protestant","Baptist Family","2","164","0.11"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","27","8,017","5.31"
"American Sikh Council","Other","Other Groups Family","4","",""
"Apostolic Lutheran Church of America","Evangelical Protestant","Lutheran Family","1","",""
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,500","0.99"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","59","11,268","7.46"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","164","0.11"
"Baha'i Faith","Other","Other Groups Family","12","982","0.65"
"Buddhism, Mahayana","Buddhism","Buddhism Family","32","9,391","6.22"
"Buddhism, Theravada","Buddhism","Buddhism Family","6","4,105","2.72"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","11","883","0.58"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","4","",""
"Catholic Church","Catholic","Catholic Liturgical Family","53","231,500","153.28"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","12","3,812","2.52"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","3","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","15","894","0.59"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","6","588","0.39"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","5","1,334","0.88"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","4","518","0.34"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness Family","4","",""
"Church of Christ, Scientist","Other Christians","Christian Science Family","8","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","4","233","0.15"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","9","884","0.59"
"Church of God in Christ","Black Protestant","Pentecostal Family","26","4,123","2.73"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","18","0.01"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","46","24,929","16.51"
"Church of our Lord Jesus Christ of the Apostolic Faith, Inc.","Black Protestant","Pentecostal Family","3","",""
"Church of the Lutheran Confession","Evangelical Protestant","Lutheran Family","1","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","13","1,420","0.94"
"Churches of Christ","Evangelical Protestant","Restorationists Family","19","2,429","1.61"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.10"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","8","",""
"Conservative Judaism","Judaism","Judaism Family","2","2,101","1.39"
"Converge Worldwide","Evangelical Protestant","Baptist Family","5","1,320","0.87"
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","2","1,210","0.80"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","18","5,174","3.43"
"Eritrean Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","2","1,050","0.70"
"Ethiopian Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","2","",""
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","9","2,649","1.75"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","9","1,920","1.27"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","25","4,776","3.16"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","143","0.09"
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","3","252","0.17"
"Friends United Meeting","Mainline Protestant","Friends/Brethren Family","1","34","0.02"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","7","",""
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","3","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","1","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","2","1,600","1.06"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","14","622","0.41"
"Hinduism: Hindu Renaissance","Hinduism","Hinduism Family","6","144","0.10"
"Hinduism: Indian-American Hindu Temple Associations","Hinduism","Hinduism Family","6","4,573","3.03"
"Hinduism: Traditional Hindu Temples","Hinduism","Hinduism Family","1","1,000","0.66"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","3","245","0.16"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","11","1,371","0.91"
"International Council of Community Churches","Mainline Protestant","Presbyterian/Reformed Family","3","",""
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","4","450","0.30"
"Jain","Other","Other Groups Family","1","",""
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","20","",""
"Korean Presbyterian Church Abroad","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","7","",""
"Korean-American Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","4","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","17","3,869","2.56"
"Malankara (Indian) Orthodox Syrian Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","300","0.20"
"Muslim Estimate","Islam","Islam Family","27","29,941","19.82"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","49","0.03"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","1","56","0.04"
"National Baptist Convention of America International, Inc.","Black Protestant","Baptist Family","5","1,819","1.20"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","2","909","0.60"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","16","4,395","2.91"
"National Spiritualist Association of Churches","Other","Spiritualist Family","1","",""
"New Apostolic Church USA","Other Christians","Other Groups Family","2","",""
"New Testament Association of Independent Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","147","61,109","40.46"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","1","103","0.07"
"Open Bible Churches","Evangelical Protestant","Pentecostal Family","1","77","0.05"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","5","630","0.42"
"Orthodox Judaism","Judaism","Judaism Family","6","1,475","0.98"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","58","0.04"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","217","0.14"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","30","8,019","5.31"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","5","48","0.03"
"Progressive National Baptist Convention, Inc.","Black Protestant","Baptist Family","2","364","0.24"
"Reconstructionist Judaism","Judaism","Judaism Family","1","68","0.05"
"Reform Judaism","Judaism","Judaism Family","6","5,570","3.69"
"Reformed Baptist Church","Evangelical Protestant","Baptist Family","1","",""
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","2","310","0.21"
"Romanian Orthodox Metropolia of the Americas","Orthodox","Eastern Liturgical (Orthodox) Family","1","350","0.23"
"Salvation Army","Evangelical Protestant","Holiness Family","4","2,075","1.37"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","15","4,166","2.76"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","119","21,951","14.53"
"Tao","Other","Other Groups Family","3","",""
"Unitarian Universalist Association","Other Christians","Liberal Family","5","1,025","0.68"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","22","3,184","2.11"
"United Methodist Church","Mainline Protestant","Methodist Family","30","9,345","6.19"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","9","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","6","",""
"Universal Fellowship of Metropolitan Community Churches","Mainline Protestant","Other Groups Family","1","138","0.09"
"Wesleyan Church","Evangelical Protestant","Holiness Family","3","115","0.08"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","118","0.08"
" "," "," ","1,091.0","509,573.0"," "
