"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","97","2.55"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","339","8.90"
"Baha'i Faith","Other","Other Groups Family","0","4","0.11"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","2","",""
"Catholic Church","Catholic","Catholic Liturgical Family","6","3,887","102.05"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","2","1,196","31.40"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","866","22.74"
"Churches of Christ","Evangelical Protestant","Restorationists Family","3","81","2.13"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","2","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","152","3.99"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","65","1.71"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","283","7.43"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","1","16","0.42"
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","0","0.00"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","249","6.54"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","1","45","1.18"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","",""
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","1","52","1.37"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","2","700","18.38"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","109","2.86"
"Serbian Orthodox Church in North and South America","Orthodox","Eastern Liturgical (Orthodox) Family","1","150","3.94"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","1","185","4.86"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","6","500","13.13"
"United Methodist Church","Mainline Protestant","Methodist Family","3","331","8.69"
" "," "," ","47.0","9,307.0"," "
