"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","150","3.71"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","530","13.09"
"Baha'i Faith","Other","Other Groups Family","0","4","0.10"
"Catholic Church","Catholic","Catholic Liturgical Family","2","5,139","126.97"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","1,164","28.76"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","1,247","30.81"
"Churches of Christ","Evangelical Protestant","Restorationists Family","3","86","2.12"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","3","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","94","2.32"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","68","1.68"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","278","6.87"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","3","630","15.57"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","47","1.16"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","1","17","0.42"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","2","720","17.79"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","",""
"Serbian Orthodox Church in North and South America","Orthodox","Eastern Liturgical (Orthodox) Family","1","160","3.95"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","1","177","4.37"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","4","418","10.33"
"United Methodist Church","Mainline Protestant","Methodist Family","2","149","3.68"
" "," "," ","38.0","11,078.0"," "
