"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","1","178","0.81"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","0","0.00"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","2","256","1.16"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","11","946","4.30"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","268","1.22"
"Baha'i Faith","Other","Other Groups Family","2","218","0.99"
"Buddhism, Mahayana","Buddhism","Buddhism Family","3","216","0.98"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","20","0.09"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","4","",""
"Catholic Church","Catholic","Catholic Liturgical Family","7","34,101","155.00"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","6","4,073","18.51"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","354","1.61"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","4","452","2.05"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","119","0.54"
"Church of Christ, Scientist","Other Christians","Christian Science Family","3","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","2","100","0.45"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","3","373","1.70"
"Church of God in Christ","Black Protestant","Pentecostal Family","1","178","0.81"
"Church of God in Christ, Mennonite","Evangelical Protestant","Mennonite/Amish Family","1","32","0.15"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","36","0.16"
"Church of God of the Apostolic Faith, Inc.","Evangelical Protestant","Pentecostal Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","16","9,357","42.53"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","1","51","0.23"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","4","1,840","8.36"
"Churches of Christ","Evangelical Protestant","Restorationists Family","7","515","2.34"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","4","",""
"Converge Worldwide","Evangelical Protestant","Baptist Family","1","90","0.41"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","4","661","3.00"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","5","1,085","4.93"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","1,088","4.95"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","62","0.28"
"Fellowship of Grace Brethren Churches","Mainline Protestant","Friends/Brethren Family","2","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","1","345","1.57"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","3","",""
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","21","0.10"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","3","345","1.57"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","7","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","4","805","3.66"
"Mennonite Christian Fellowship","Evangelical Protestant","Mennonite/Amish Family","1","41","0.19"
"Muslim Estimate","Islam","Islam Family","1","1,109","5.04"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","184","0.84"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","1","0","0.00"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","21","4,392","19.96"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","40","0.18"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","7","761","3.46"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","1,943","8.83"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","182","0.83"
"Reconstructionist Judaism","Judaism","Judaism Family","1","32","0.15"
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","1","29","0.13"
"Salvation Army","Evangelical Protestant","Holiness Family","2","398","1.81"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","7","3,305","15.02"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","16","2,296","10.44"
"Syrian (Syriac) Orthodox Church of Antioch","Orthodox","Eastern Liturgical (Orthodox) Family","1","240","1.09"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","79","0.36"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","2","158","0.72"
"United Methodist Church","Mainline Protestant","Methodist Family","7","1,607","7.30"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","3","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","203.0","74,981.0"," "
