"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","25","0.55"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","2","78","1.72"
"Baha'i Faith","Other","Other Groups Family","0","18","0.40"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","28","0.62"
"Catholic Church","Catholic","Catholic Liturgical Family","7","2,023","44.67"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","2","680","15.01"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","0","0.00"
"Churches of Christ","Evangelical Protestant","Restorationists Family","3","88","1.94"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","79","1.74"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","5","716","15.81"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","50","1.10"
"Full Gospel Christian Assemblies International","Evangelical Protestant","Pentecostal Family","1","400","8.83"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","3","574","12.67"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","15","0.33"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","36","0.79"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","1","80","1.77"
"Nationwide Fellowship Mennonite Churches","Evangelical Protestant","Mennonite/Amish Family","1","64","1.41"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","9","1,840","40.63"
"Open Bible Churches","Evangelical Protestant","Pentecostal Family","1","28","0.62"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","",""
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","190","4.20"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","6","467","10.31"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","2","292","6.45"
"United Methodist Church","Mainline Protestant","Methodist Family","1","60","1.32"
" "," "," ","57.0","7,831.0"," "
