"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","38","1.74"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","246","11.26"
"Baha'i Faith","Other","Other Groups Family","0","6","0.27"
"Catholic Church","Catholic","Catholic Liturgical Family","6","8,520","390.13"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","54","2.47"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","0","0.00"
"Church of God in Christ, Mennonite","Evangelical Protestant","Mennonite/Amish Family","1","100","4.58"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","243","11.13"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","27","1.24"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","182","8.33"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","44","2.01"
"Missionary Church, The","Evangelical Protestant","Holiness Family","1","45","2.06"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","2","420","19.23"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","121","5.54"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","2","120","5.49"
"United Methodist Church","Mainline Protestant","Methodist Family","4","286","13.10"
" "," "," ","30.0","10,452.0"," "
