"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","4","786","0.67"
"Alliance of Baptists","Mainline Protestant","Baptist Family","1","",""
"American Baptist Association","Evangelical Protestant","Baptist Family","1","150","0.13"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","21","3,095","2.65"
"American Sikh Council","Other","Other Groups Family","2","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","2","",""
"Anglican Province of Christ the King","Mainline Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","450","0.39"
"Apostolic Faith Mission of Portland, Oregon","Evangelical Protestant","Pentecostal Family","1","",""
"Apostolic Lutheran Church of America","Evangelical Protestant","Lutheran Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","26","8,304","7.12"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","124","0.11"
"Baha'i Faith","Other","Other Groups Family","15","946","0.81"
"Buddhism, Mahayana","Buddhism","Buddhism Family","5","4,579","3.93"
"Buddhism, Theravada","Buddhism","Buddhism Family","3","1,081","0.93"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","4","1,320","1.13"
"Catholic Church","Catholic","Catholic Liturgical Family","39","312,835","268.31"
"Chabad Judaism","Judaism","","8","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","4","1,074","0.92"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","3","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","7","398","0.34"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","4","699","0.60"
"Christian Congregation in North America","Evangelical Protestant","Pentecostal Family","1","",""
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","4","890","0.76"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","2","106","0.09"
"Church of Christ, Scientist","Other Christians","Christian Science Family","5","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","60","0.05"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","12","675","0.58"
"Church of God in Christ","Black Protestant","Pentecostal Family","19","2,980","2.56"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","3","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","40","25,240","21.65"
"Church of our Lord Jesus Christ of the Apostolic Faith, Inc.","Black Protestant","Pentecostal Family","1","180","0.15"
"Church of the Genuine Orthodox Christians of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","80","0.07"
"Church of the Living God (Christian Workers for Fellowship)","Black Protestant","Pentecostal Family","2","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","15","707","0.61"
"Churches of Christ","Evangelical Protestant","Restorationists Family","18","2,421","2.08"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","9","",""
"Conservative Judaism","Judaism","Judaism Family","1","794","0.68"
"Converge Worldwide","Evangelical Protestant","Baptist Family","9","",""
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","600","0.51"
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Elim Fellowship","Evangelical Protestant","Pentecostal Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","12","3,565","3.06"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","12","1,655","1.42"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","6","",""
"Evangelical Friends Church International","Evangelical Protestant","Friends/Brethren Family","1","44","0.04"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","13","2,785","2.39"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","4","",""
"Fellowship of Fundamental Bible Churches","Evangelical Protestant","Methodist Family","1","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","5","390","0.33"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","5","900","0.77"
"Full Gospel Christian Assemblies International","Evangelical Protestant","Pentecostal Family","1","500","0.43"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","7","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","2","825","0.71"
