"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","3","306","11.03"
"Baha'i Faith","Other","Other Groups Family","1","30","1.08"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","10","0.36"
"Catholic Church","Catholic","Catholic Liturgical Family","2","764","27.54"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","36","1.30"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","388","13.99"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","114","4.11"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","44","1.59"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","1","100","3.60"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","338","12.18"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","3","588","21.19"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","479","17.27"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","1","100","3.60"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","",""
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","1","335","12.08"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","2","90","3.24"
"The Local Churches","Evangelical Protestant","","1","",""
"United Methodist Church","Mainline Protestant","Methodist Family","3","186","6.70"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
" "," "," ","29.0","3,908.0"," "
