"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","102","0.56"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","287","1.59"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","3","255","1.41"
"Association of Reformed Baptist Churches of America","Evangelical Protestant","Baptist Family","1","",""
"Baha'i Faith","Other","Other Groups Family","2","142","0.78"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","4","",""
"Catholic Church","Catholic","Catholic Liturgical Family","6","23,298","128.68"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","1,472","8.13"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","102","0.56"
"Church of Christ, Scientist","Other Christians","Christian Science Family","2","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","15","7,030","38.83"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","190","1.05"
"Churches of Christ","Evangelical Protestant","Restorationists Family","5","296","1.63"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","5","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","724","4.00"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","3","963","5.32"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","3","530","2.93"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","476","2.63"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","1","0.01"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","2","516","2.85"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","160","0.88"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","6","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","3","887","4.90"
"Muslim Estimate","Islam","Islam Family","1","1,109","6.13"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","60","0.33"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","19","9,350","51.64"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","1","196","1.08"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","109","0.60"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","549","3.03"
"Reform Judaism","Judaism","Judaism Family","1","130","0.72"
"Reformed Baptist Church","Evangelical Protestant","Baptist Family","1","",""
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","65","0.36"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","6","1,445","7.98"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","6","481","2.66"
"United Methodist Church","Mainline Protestant","Methodist Family","3","841","4.64"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","2","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
"Vicariate for the Palestinian and Jordanian Orthodox Christian Communities in America","Orthodox","Eastern Liturgical (Orthodox) Family","1","250","1.38"
" "," "," ","118.0","52,016.0"," "
