"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","5","864","4.52"
"Baha'i Faith","Other","Other Groups Family","2","149","0.78"
"Buddhism, Theravada","Buddhism","Buddhism Family","1","100","0.52"
"Catholic Church","Catholic","Catholic Liturgical Family","4","27,950","146.19"
"Chabad Judaism","Judaism","","1","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","1,948","10.19"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","14","8,834","46.21"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","184","0.96"
"Churches of Christ","Evangelical Protestant","Restorationists Family","5","258","1.35"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","5","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","601","3.14"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","2","677","3.54"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","5","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","177","0.93"
"Full Gospel Christian Assemblies International","Evangelical Protestant","Pentecostal Family","1","190","0.99"
"Hindu Yoga and Meditation","Hinduism","","2","404","2.11"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","98","0.51"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","11","2,490","13.02"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","4","631","3.30"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","41","0.21"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","11","9,420","49.27"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","1","",""
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","3","252","1.32"
"Reform Judaism","Judaism","Judaism Family","1","240","1.26"
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","70","0.37"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","6","1,179","6.17"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","6","347","1.81"
"United Methodist Church","Mainline Protestant","Methodist Family","3","636","3.33"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","3","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","108.0","57,740.0"," "
