"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","2","1,200","1.19"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","180","0.18"
"American Baptist Association","Evangelical Protestant","Baptist Family","3","534","0.53"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","14","2,011","1.99"
"American Sikh Council","Other","Other Groups Family","11","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","4","",""
"Apostolic Christian Church (Nazarene) - East Conference","Evangelical Protestant","Froehlich Churches Family","1","30","0.03"
"Armenian Apostolic Church (Catholicosate of Cilicia)","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,500","1.49"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","3","5,000","4.96"
"Armenian Evangelical Union of North America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","53","24,050","23.84"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","2","386","0.38"
"Baha'i Faith","Other","Other Groups Family","2","479","0.47"
"Buddhism, Mahayana","Buddhism","Buddhism Family","12","7,678","7.61"
"Buddhism, Theravada","Buddhism","Buddhism Family","6","3,456","3.43"
"Catholic Church","Catholic","Catholic Liturgical Family","42","223,571","221.65"
"Chabad Judaism","Judaism","","1","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","4","2,078","2.06"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","235","0.23"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","6,841","6.78"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","160","0.16"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","3","233","0.23"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","7","1,470","1.46"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","9","698","0.69"
"Church of God in Christ","Black Protestant","Pentecostal Family","9","3,154","3.13"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","7","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","34","19,822","19.65"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","2","101","0.10"
"Church of the Living God (Christian Workers for Fellowship)","Black Protestant","Pentecostal Family","1","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","19","2,060","2.04"
"Churches of Christ","Evangelical Protestant","Restorationists Family","24","2,889","2.86"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","2","",""
"Conservative Congregational Christian Conference","Evangelical Protestant","Presbyterian/Reformed Family","1","218","0.22"
"Conservative Judaism","Judaism","Judaism Family","1","97","0.10"
"Converge Worldwide","Evangelical Protestant","Baptist Family","9","",""
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","150","0.15"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","235","0.23"
"Ethiopian Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","300","0.30"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","8","978","0.97"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","7","",""
"Evangelical Friends Church International","Evangelical Protestant","Friends/Brethren Family","1","41","0.04"
