"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","3","255","9.07"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","3","328","11.66"
"Baha'i Faith","Other","Other Groups Family","0","12","0.43"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","3","6,112","217.34"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","231","8.21"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","0","0.00"
"Church of God in Christ","Black Protestant","Pentecostal Family","1","191","6.79"
"Church of God in Christ, Mennonite","Evangelical Protestant","Mennonite/Amish Family","2","303","10.77"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","820","29.16"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","37","1.32"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","34","1.21"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","88","3.13"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","419","14.90"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","287","10.21"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","0","0.00"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","2","220","7.82"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","1","69","2.45"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","6","660","23.47"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","109","3.88"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","99","3.52"
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","1","48","1.71"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","69","2.45"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","2","121","4.30"
"United Methodist Church","Mainline Protestant","Methodist Family","2","614","21.83"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
" "," "," ","49.0","11,126.0"," "
