"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","3","524","3.84"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","2","250","1.83"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","14","1,555","11.40"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","44","0.32"
"Baha'i Faith","Other","Other Groups Family","2","123","0.90"
"Buddhism, Mahayana","Buddhism","Buddhism Family","2","60","0.44"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","20","0.15"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","2","",""
"Catholic Church","Catholic","Catholic Liturgical Family","13","8,693","63.70"
"Chabad Judaism","Judaism","","1","",""
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","62","0.45"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","3","63","0.46"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","6","3,498","25.63"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","4","454","3.33"
"Churches of Christ","Evangelical Protestant","Restorationists Family","3","144","1.06"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","3","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","4","438","3.21"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","1","109","0.80"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","6","426","3.12"
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","1","18","0.13"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","2","",""
"Hindu Yoga and Meditation","Hinduism","","4","1,052","7.71"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","4","974","7.14"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","9","1,754","12.85"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","3","160","1.17"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","38","0.28"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","1","30","0.22"
"Nationwide Fellowship Mennonite Churches","Evangelical Protestant","Mennonite/Amish Family","1","130","0.95"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","10","1,080","7.91"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","70","0.51"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","3","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","8","280","2.05"
"Reform Judaism","Judaism","Judaism Family","1","332","2.43"
"Salvation Army","Evangelical Protestant","Holiness Family","1","29","0.21"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","5","956","7.01"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","15","1,650","12.09"
"The Local Churches","Evangelical Protestant","","1","",""
"Unitarian Universalist Association","Other Christians","Liberal Family","1","280","2.05"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","73","0.53"
"United Church of God","Other Christians","Adventist Family","1","",""
"United Methodist Church","Mainline Protestant","Methodist Family","4","791","5.80"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","2","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
"Wesleyan Church","Evangelical Protestant","Holiness Family","1","55","0.40"
" "," "," ","157.0","26,215.0"," "
