"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","1","193","1.11"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","3","341","1.95"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","16","3,735","21.40"
"Baha'i Faith","Other","Other Groups Family","0","119","0.68"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","166","0.95"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","3","",""
"Catholic Church","Catholic","Catholic Liturgical Family","12","49,226","282.05"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","3","774","4.43"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","77","0.44"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","9","0.05"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","3","158","0.91"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","5","3,149","18.04"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","5","309","1.77"
"Churches of Christ","Evangelical Protestant","Restorationists Family","7","276","1.58"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","3","211","1.21"
"Evangelical Friends Church International","Evangelical Protestant","Friends/Brethren Family","2","32","0.18"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","2","",""
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","102","0.58"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","1","26","0.15"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","5","",""
"Korean Presbyterian Church Abroad","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","4","389","2.23"
"Muslim Estimate","Islam","Islam Family","1","150","0.86"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","1","129","0.74"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","2","270","1.55"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","10","2,137","12.24"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","1","155","0.89"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","166","0.95"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","0","0.00"
"Reform Judaism","Judaism","Judaism Family","1","49","0.28"
"Salvation Army","Evangelical Protestant","Holiness Family","1","248","1.42"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","5","1,202","6.89"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","11","3,155","18.08"
"United Methodist Church","Mainline Protestant","Methodist Family","4","419","2.40"
" "," "," ","123.0","67,372.0"," "
