"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","2","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","2","150","8.09"
"Baha'i Faith","Other","Other Groups Family","0","8","0.43"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","5","4,827","260.27"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God in Christ","Black Protestant","Pentecostal Family","1","178","9.60"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","2","621","33.48"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","2","138","7.44"
"Churches of Christ","Evangelical Protestant","Restorationists Family","1","20","1.08"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","2","",""
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","50","2.70"
"Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","27","1.46"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","100","5.39"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","204","11.00"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","3","565","30.46"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","163","8.79"
"Salvation Army","Evangelical Protestant","Holiness Family","1","12","0.65"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","108","5.82"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","3","120","6.47"
"United Methodist Church","Mainline Protestant","Methodist Family","3","682","36.77"
" "," "," ","38.0","7,973.0"," "
