"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","3","1,142","1.36"
"American Association of Lutheran Churches","Evangelical Protestant","Lutheran Family","1","",""
"American Baptist Association","Evangelical Protestant","Baptist Family","9","880","1.05"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","8","2,106","2.51"
"American Sikh Council","Other","Other Groups Family","2","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","7","",""
"Apostolic Faith Mission of Portland, Oregon","Evangelical Protestant","Pentecostal Family","1","46","0.05"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","45","13,060","15.55"
"Association of Free Lutheran Congregations","Evangelical Protestant","Lutheran Family","1","",""
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","2","98","0.12"
"Baha'i Faith","Other","Other Groups Family","1","167","0.20"
"Buddhism, Mahayana","Buddhism","Buddhism Family","3","1,578","1.88"
"Buddhism, Theravada","Buddhism","Buddhism Family","1","1,365","1.63"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","6","",""
"Catholic Church","Catholic","Catholic Liturgical Family","30","245,836","292.79"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","3","1,769","2.11"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","424","0.50"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","6","900","1.07"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","196","0.23"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","2","54","0.06"
"Church of Christ, Scientist","Other Christians","Christian Science Family","4","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","160","0.19"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","9","1,257","1.50"
"Church of God in Christ","Black Protestant","Pentecostal Family","15","2,349","2.80"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","7","265","0.32"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","39","21,095","25.12"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","2","209","0.25"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","15","3,335","3.97"
"Churches of Christ","Evangelical Protestant","Restorationists Family","32","4,069","4.85"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","2","317","0.38"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","2","",""
"Converge Worldwide","Evangelical Protestant","Baptist Family","3","270","0.32"
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","230","0.27"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","4","220","0.26"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","4","275","0.33"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","375","0.45"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","1,219","1.45"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","5","0.01"
"Friends United Meeting","Mainline Protestant","Friends/Brethren Family","1","13","0.02"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","4","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","200","0.24"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","1","10","0.01"
"Hinduism: Indian-American Hindu Temple Associations","Hinduism","Hinduism Family","2","379","0.45"
"Hinduism: Traditional Hindu Temples","Hinduism","Hinduism Family","1","900","1.07"
"Holy Orthodox Church in North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","20","0.02"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","3","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","18","3,874","4.61"
"International Churches of Christ","Evangelical Protestant","Baptist Family","1","55","0.07"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","10","1,315","1.57"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","18","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","12","3,187","3.80"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","1,831","2.18"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","7","2,332","2.78"
"Muslim Estimate","Islam","Islam Family","4","4,218","5.02"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","9","540","0.64"
"National Baptist Convention of America International, Inc.","Black Protestant","Baptist Family","1","339","0.40"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","81","38,689","46.08"
"Orthodox Judaism","Judaism","Judaism Family","1","60","0.07"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","17","1,849","2.20"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","4","718","0.86"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","37","0.04"
"Reform Judaism","Judaism","Judaism Family","2","518","0.62"
"Reformed Baptist Church","Evangelical Protestant","Baptist Family","1","",""
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","2","311","0.37"
"Salvation Army","Evangelical Protestant","Holiness Family","2","121","0.14"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","18","5,332","6.35"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","74","27,075","32.25"
