"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","126","0.83"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","160","1.05"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","3","1,522","9.98"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","2","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","12","1,137","7.46"
"Baha'i Faith","Other","Other Groups Family","0","29","0.19"
"Catholic Church","Catholic","Catholic Liturgical Family","8","53,195","348.85"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","77","0.50"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","352","2.31"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","2","122","0.80"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","0","0.00"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","5","2,915","19.12"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","4","288","1.89"
"Churches of Christ","Evangelical Protestant","Restorationists Family","5","650","4.26"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","63","0.41"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","109","0.71"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","104","0.68"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","8","1,676","10.99"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","93","0.61"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","1","64","0.42"
"Muslim Estimate","Islam","Islam Family","1","512","3.36"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","2","38","0.25"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","1","360","2.36"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","5","2,700","17.71"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","7","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","252","1.65"
"Salvation Army","Evangelical Protestant","Holiness Family","1","36","0.24"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","6","1,664","10.91"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","4","411","2.70"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","18","0.12"
"United Methodist Church","Mainline Protestant","Methodist Family","4","284","1.86"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","2","",""
" "," "," ","98.0","68,957.0"," "
