"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","55","0.81"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","591","8.67"
"Baha'i Faith","Other","Other Groups Family","0","39","0.57"
"Buddhism, Mahayana","Buddhism","Buddhism Family","3","89","1.31"
"Buddhism, Theravada","Buddhism","Buddhism Family","1","289","4.24"
"Catholic Church","Catholic","Catholic Liturgical Family","7","12,377","181.58"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","0","0.00"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","30","0.44"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","",""
"Church of God in Christ","Black Protestant","Pentecostal Family","1","120","1.76"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","1,602","23.50"
"Church of the Genuine Orthodox Christians of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","31","0.45"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","63","0.92"
"Churches of Christ","Evangelical Protestant","Restorationists Family","4","198","2.90"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","33","0.48"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","43","0.63"
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","1","4","0.06"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Hindu Yoga and Meditation","Hinduism","","1","500","7.34"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","46","0.67"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","5","1,116","16.37"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","2","51","0.75"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","9","1,540","22.59"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","132","1.94"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","4","654","9.59"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","10","771","11.31"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","50","0.73"
"United Methodist Church","Mainline Protestant","Methodist Family","7","274","4.02"
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","80.0","20,698.0"," "
