"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","3","509","15.55"
"Baha'i Faith","Other","Other Groups Family","0","18","0.55"
"Catholic Church","Catholic","Catholic Liturgical Family","2","3,970","121.30"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","4","1,940","59.27"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","155","4.74"
"Churches of Christ","Evangelical Protestant","Restorationists Family","1","50","1.53"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","18","0.55"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","170","5.19"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","3","500","15.28"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","51","1.56"
"Mennonite Christian Fellowship","Evangelical Protestant","Mennonite/Amish Family","1","61","1.86"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","3","322","9.84"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","",""
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","209","6.39"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","5","254","7.76"
"United Methodist Church","Mainline Protestant","Methodist Family","1","211","6.45"
" "," "," ","32.0","8,438.0"," "
