"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Advent Christian Church","Evangelical Protestant","Adventist Family","4","211","0.02"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","32","41,598","4.15"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","9","1,800","0.18"
"American Association of Lutheran Churches","Evangelical Protestant","Lutheran Family","1","",""
"American Baptist Association","Evangelical Protestant","Baptist Family","1","276","0.03"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","125","29,404","2.94"
"American Ethical Union","Other","Liberal Family","1","",""
"American Sikh Council","Other","Other Groups Family","8","",""
"Anglican Church in America","Mainline Protestant","Anglican/Episcopal Family","1","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","12","",""
"Anglican Province of Christ the King","Mainline Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","6","3,585","0.36"
"Apostolic Christian Church (Nazarene) - East Conference","Evangelical Protestant","Froehlich Churches Family","3","145","0.01"
"Apostolic Christian Church of America","Evangelical Protestant","Froehlich Churches Family","1","55","0.01"
"Apostolic Faith Mission of Portland, Oregon","Evangelical Protestant","Pentecostal Family","1","",""
"Armenian Apostolic Church (Catholicosate of Cilicia)","Orthodox","Eastern Liturgical (Orthodox) Family","7","17,485","1.75"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","11","31,900","3.19"
"Armenian Evangelical Union of North America","Evangelical Protestant","Presbyterian/Reformed Family","10","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","297","103,929","10.38"
"Associate Reformed Presbyterian Church (General Synod)","Evangelical Protestant","Presbyterian/Reformed Family","3","",""
"Association of Free Lutheran Congregations","Evangelical Protestant","Lutheran Family","1","22","0.00"
"Association of Reformed Baptist Churches of America","Evangelical Protestant","Baptist Family","1","",""
