"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","128","0.85"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","96","0.64"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","3","377","2.50"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","10","1,335","8.85"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","154","1.02"
"Baha'i Faith","Other","Other Groups Family","1","58","0.38"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","27","0.18"
"Buddhism, Theravada","Buddhism","Buddhism Family","1","267","1.77"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","2","",""
"Catholic Church","Catholic","Catholic Liturgical Family","3","56,566","374.94"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","199","1.32"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","3","745","4.94"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","3","160","1.06"
"Church of God in Christ","Black Protestant","Pentecostal Family","3","237","1.57"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","47","0.31"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","5","3,355","22.24"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","3","173","1.15"
"Churches of Christ","Evangelical Protestant","Restorationists Family","5","516","3.42"
"Converge Worldwide","Evangelical Protestant","Baptist Family","2","180","1.19"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","45","0.30"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","325","2.15"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","515","3.41"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","1","0.01"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","54","0.36"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","5","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","59","0.39"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","3","1,040","6.89"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","2","172","1.14"
"Muslim Estimate","Islam","Islam Family","1","1,109","7.35"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","1","59","0.39"
"National Baptist Convention of America International, Inc.","Black Protestant","Baptist Family","1","320","2.12"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","21","6,190","41.03"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","3","326","2.16"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","687","4.55"
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","1","517","3.43"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","5","1,310","8.68"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","13","1,937","12.84"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","65","0.43"
"United Methodist Church","Mainline Protestant","Methodist Family","3","602","3.99"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
" "," "," ","126.0","79,953.0"," "
