"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","192","1.23"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","28","0.18"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Apostolic Christian Church (Nazarene) - West Conference","Evangelical Protestant","Froehlich Churches Family","1","29","0.19"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","11","1,202","7.69"
"Baha'i Faith","Other","Other Groups Family","1","61","0.39"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","27","0.17"
"Buddhism, Theravada","Buddhism","Buddhism Family","1","289","1.85"
"Catholic Church","Catholic","Catholic Liturgical Family","7","46,538","297.83"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","197","1.26"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","3","1,662","10.64"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","3","75","0.48"
"Church of God in Christ","Black Protestant","Pentecostal Family","2","240","1.54"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","5","2,915","18.66"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","2","71","0.45"
"Churches of Christ","Evangelical Protestant","Restorationists Family","6","446","2.85"
"Converge Worldwide","Evangelical Protestant","Baptist Family","3","",""
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","39","0.25"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","",""
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","1","4","0.03"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Hindu Yoga and Meditation","Hinduism","","1","177","1.13"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","144","0.92"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","14","3,556","22.76"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","27","0.17"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","2","302","1.93"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","2","153","0.98"
"Muslim Estimate","Islam","Islam Family","1","512","3.28"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","1","19","0.12"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","2","246","1.57"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","15","6,300","40.32"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","82","0.52"
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","2","734","4.70"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","5","1,277","8.17"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","15","1,535","9.82"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","66","0.42"
"United Methodist Church","Mainline Protestant","Methodist Family","2","248","1.59"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","2","",""
" "," "," ","128.0","69,393.0"," "
