"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","6","961","3.81"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","920","3.64"
"Baha'i Faith","Other","Other Groups Family","4","243","0.96"
"Buddhism, Mahayana","Buddhism","Buddhism Family","10","1,506","5.97"
"Buddhism, Theravada","Buddhism","Buddhism Family","2","800","3.17"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","7","331","1.31"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","30","77,114","305.51"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","119","0.47"
"Church of Christ, Scientist","Other Christians","Christian Science Family","4","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","70","0.28"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","126","0.50"
"Church of God in Christ","Black Protestant","Pentecostal Family","1","179","0.71"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","4","2,468","9.78"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","2","157","0.62"
"Churches of Christ","Evangelical Protestant","Restorationists Family","1","16","0.06"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.63"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Conservative Judaism","Judaism","Judaism Family","1","1,264","5.01"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","12","3,501","13.87"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","1","654","2.59"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","5","1,020","4.04"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","25","0.10"
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,200","4.75"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","6","329","1.30"
"Hinduism: Hindu Renaissance","Hinduism","Hinduism Family","1","375","1.49"
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","18","0.07"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","4","",""
"Korean-American Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","3","532","2.11"
"Muslim Estimate","Islam","Islam Family","1","1,109","4.39"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","1","596","2.36"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","16","2,237","8.86"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","200","0.79"
"Orthodox Judaism","Judaism","Judaism Family","2","120","0.48"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","37","0.15"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","16","2,616","10.36"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","87","0.34"
"Reform Judaism","Judaism","Judaism Family","1","3,159","12.52"
"Salvation Army","Evangelical Protestant","Holiness Family","1","144","0.57"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","3","340","1.35"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","30","3,378","13.38"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","232","0.92"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","4","427","1.69"
"United Methodist Church","Mainline Protestant","Methodist Family","4","915","3.63"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
"Vicariate for the Palestinian and Jordanian Orthodox Christian Communities in America","Orthodox","Eastern Liturgical (Orthodox) Family","1","125","0.50"
" "," "," ","204.0","109,808.0"," "
