"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","6","748","2.85"
"Anglican Province of Christ the King","Mainline Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","3","1,113","4.24"
"Baha'i Faith","Other","Other Groups Family","4","261","0.99"
"Buddhism, Mahayana","Buddhism","Buddhism Family","5","1,360","5.18"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","3","310","1.18"
"Catholic Church","Catholic","Catholic Liturgical Family","18","61,416","234.13"
"Chabad Judaism","Judaism","","3","",""
"Christadelphians","Other Christians","Other Groups Family","1","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","0","0.00"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","117","0.45"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","120","0.46"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","2","300","1.14"
"Church of God in Christ","Black Protestant","Pentecostal Family","1","200","0.76"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","1,749","6.67"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","2","85","0.32"
"Churches of Christ","Evangelical Protestant","Restorationists Family","1","16","0.06"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Conservative Judaism","Judaism","Judaism Family","1","1,231","4.69"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","12","3,506","13.37"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","2","133","0.51"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","5","796","3.03"
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","595","2.27"
"Hindu Yoga and Meditation","Hinduism","","9","2,183","8.32"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","7","1,608","6.13"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","3","395","1.51"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","90","0.34"
"Muslim Estimate","Islam","Islam Family","4","7,112","27.11"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","1","180","0.69"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","11","2,300","8.77"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","170","0.65"
"Orthodox Judaism","Judaism","Judaism Family","0","120","0.46"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","16","2,097","7.99"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","187","0.71"
"Reform Judaism","Judaism","Judaism Family","1","2,430","9.26"
"Salvation Army","Evangelical Protestant","Holiness Family","1","46","0.18"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","343","1.31"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","28","2,608","9.94"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","183","0.70"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","4","323","1.23"
"United Methodist Church","Mainline Protestant","Methodist Family","4","780","2.97"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","178.0","97,211.0"," "
