"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","1","45","2.47"
"Baha'i Faith","Other","Other Groups Family","1","39","2.14"
"Catholic Church","Catholic","Catholic Liturgical Family","3","4,671","255.93"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","205","11.23"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","392","21.48"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","74","4.05"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","172","9.42"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","49","2.68"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","10","1,501","82.24"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","144","7.89"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","1","30","1.64"
"United Methodist Church","Mainline Protestant","Methodist Family","2","406","22.25"
" "," "," ","31.0","7,728.0"," "
