"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","0","0.00"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","7","304","3.32"
"Baha'i Faith","Other","Other Groups Family","1","91","0.99"
"Buddhism, Mahayana","Buddhism","Buddhism Family","3","912","9.96"
"Buddhism, Theravada","Buddhism","Buddhism Family","2","1,696","18.52"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","2","7,510","81.99"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","11","15,900","173.58"
"Christadelphians","Other Christians","Other Groups Family","1","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","8","0.09"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","1,602","17.49"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","2","63","0.69"
"Churches of Christ","Evangelical Protestant","Restorationists Family","3","116","1.27"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","2","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","4","254","2.77"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","189","2.06"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","2","14","0.15"
"Full Gospel Christian Assemblies International","Evangelical Protestant","Pentecostal Family","1","260","2.84"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","100","1.09"
"Hindu Yoga and Meditation","Hinduism","","2","626","6.83"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","182","1.99"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","7","1,632","17.82"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","2","200","2.18"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","6","1,528","16.68"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","3","477","5.21"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","6","1,059","11.56"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","10","1,084","11.83"
"United Methodist Church","Mainline Protestant","Methodist Family","8","818","8.93"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","3","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","104.0","36,625.0"," "
