"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","192","0.68"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","140","0.50"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","2","280","1.00"
"American Sikh Council","Other","Other Groups Family","2","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","2","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","16","1,855","6.60"
"Baha'i Faith","Other","Other Groups Family","1","246","0.87"
"Catholic Church","Catholic","Catholic Liturgical Family","15","95,362","339.12"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","519","1.85"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","0","0.00"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","155","0.55"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","160","0.57"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","422","1.50"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","3","460","1.64"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","93","0.33"
"Church of God in Christ","Black Protestant","Pentecostal Family","6","1,270","4.52"
"Church of God in Christ, Mennonite","Evangelical Protestant","Mennonite/Amish Family","3","772","2.75"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","5","2,915","10.37"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","1","0","0.00"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","6","692","2.46"
"Churches of Christ","Evangelical Protestant","Restorationists Family","7","520","1.85"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","2","",""
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","11","0.04"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","1","311","1.11"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","140","0.50"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","3","286","1.02"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","13","4,196","14.92"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","2","366","1.30"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","98","0.35"
"Muslim Estimate","Islam","Islam Family","1","500","1.78"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","5","604","2.15"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","14","8,768","31.18"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","35","0.12"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","9","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","17","0.06"
"Salvation Army","Evangelical Protestant","Holiness Family","2","178","0.63"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","5","1,199","4.26"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","29","2,979","10.59"
"The Local Churches","Evangelical Protestant","","1","",""
"United Methodist Church","Mainline Protestant","Methodist Family","6","1,163","4.14"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","9","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","192.0","126,904.0"," "
