"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","1","35","4.02"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","148","17.01"
"Baha'i Faith","Other","Other Groups Family","0","17","1.95"
"Catholic Church","Catholic","Catholic Liturgical Family","2","809","92.99"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","2","680","78.16"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","72","8.28"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","43","4.94"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","23","2.64"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","288","33.10"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","1","406","46.67"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","1","60","6.90"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","82","9.43"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","3","77","8.85"
"Unaffiliated Conservative Mennonite (Grandview fellowship)","Evangelical Protestant","Mennonite/Amish Family","1","40","4.60"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","2","101","11.61"
" "," "," ","22.0","2,881.0"," "
