"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Baha'i Faith","Other","Other Groups Family","0","3","0.21"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","2","",""
"Catholic Church","Catholic","Catholic Liturgical Family","3","12,852","904.94"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","2","337","23.73"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","100","7.04"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","61","4.30"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","1","125","8.80"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","13","0.92"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","3","109","7.67"
"United Methodist Church","Mainline Protestant","Methodist Family","1","45","3.17"
" "," "," ","16.0","13,645.0"," "
