"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","107","0.26"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","4","477","1.15"
"American Sikh Council","Other","Other Groups Family","1","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God International Fellowship","Evangelical Protestant","Pentecostal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","18","1,880","4.53"
"Association of Free Lutheran Congregations","Evangelical Protestant","Lutheran Family","1","",""
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","95","0.23"
"Baha'i Faith","Other","Other Groups Family","1","1,480","3.57"
"Buddhism, Mahayana","Buddhism","Buddhism Family","11","5,351","12.89"
"Buddhism, Theravada","Buddhism","Buddhism Family","1","1,365","3.29"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","53","0.13"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","3","",""
"Catholic Church","Catholic","Catholic Liturgical Family","26","150,050","361.52"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","2","106","0.26"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","126","0.30"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","186","0.45"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","2","227","0.55"
"Church of Christ, Scientist","Other Christians","Christian Science Family","3","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","45","0.11"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","5","174","0.42"
"Church of God in Christ","Black Protestant","Pentecostal Family","3","252","0.61"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","29","0.07"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","10","5,906","14.23"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","4","733","1.77"
"Churches of Christ","Evangelical Protestant","Restorationists Family","9","605","1.46"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.38"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","7","",""
"Conservative Judaism","Judaism","Judaism Family","1","27","0.07"
