"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","2","324","2.37"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","5","1,407","10.31"
"Baha'i Faith","Other","Other Groups Family","1","56","0.41"
"Buddhism, Mahayana","Buddhism","Buddhism Family","2","516","3.78"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","20","0.15"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","8","47,968","351.46"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","3","243","1.78"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","970","7.11"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","4","0.03"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God in Christ","Black Protestant","Pentecostal Family","2","364","2.67"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","6","2,209","16.19"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","95","0.70"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","84","0.62"
"Converge Worldwide","Evangelical Protestant","Baptist Family","1","90","0.66"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","3","765","5.61"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","110","0.81"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","281","2.06"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","1","100","0.73"
"Independent Baptist Fellowship International","Evangelical Protestant","Baptist Family","1","",""
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","10","0.07"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","109","0.80"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","835","6.12"
"Muslim Estimate","Islam","Islam Family","3","3,327","24.38"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","11","2,687","19.69"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","50","0.37"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","217","1.59"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","4","902","6.61"
"Reform Judaism","Judaism","Judaism Family","1","413","3.03"
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","30","0.22"
"Salvation Army","Evangelical Protestant","Holiness Family","1","150","1.10"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","11","5,175","37.92"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","7","1,147","8.40"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","84","0.62"
"United Methodist Church","Mainline Protestant","Methodist Family","2","641","4.70"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","3","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","101.0","71,383.0"," "
