"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","3","398","2.88"
"Anglican Province of Christ the King","Mainline Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","5","1,258","9.11"
"Baha'i Faith","Other","Other Groups Family","1","55","0.40"
"Catholic Church","Catholic","Catholic Liturgical Family","8","43,623","316.07"
"Chabad Judaism","Judaism","","1","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","3","240","1.74"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","559","4.05"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","0","0.00"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","1,602","11.61"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","74","0.54"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","84","0.61"
"Converge Worldwide","Evangelical Protestant","Baptist Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","3","894","6.48"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","165","1.20"
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","1","4","0.03"
"Hindu Yoga and Meditation","Hinduism","","1","8,000","57.96"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","28","0.20"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","8","1,866","13.52"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","570","4.13"
"Muslim Estimate","Islam","Islam Family","1","165","1.20"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","1","18","0.13"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","8","1,900","13.77"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","4","581","4.21"
"Reform Judaism","Judaism","Judaism Family","1","581","4.21"
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","150","1.09"
"Salvation Army","Evangelical Protestant","Holiness Family","1","58","0.42"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","11","5,021","36.38"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","6","526","3.81"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","78","0.57"
"United Methodist Church","Mainline Protestant","Methodist Family","2","649","4.70"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","4","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","95.0","69,147.0"," "
