"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","59","0.60"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","2","297","3.01"
"Baha'i Faith","Other","Other Groups Family","2","124","1.26"
"Buddhism, Mahayana","Buddhism","Buddhism Family","4","108","1.09"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","3","112","1.13"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","3","",""
"Catholic Church","Catholic","Catholic Liturgical Family","4","7,999","80.99"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","350","3.54"
"Church of Christ, Scientist","Other Christians","Christian Science Family","2","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","2","0","0.00"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","26","0.26"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","1,683","17.04"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","2","390","3.95"
"Churches of Christ","Evangelical Protestant","Restorationists Family","4","234","2.37"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","669","6.77"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","614","6.22"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","513","5.19"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","1","0.01"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","5","310","3.14"
"Hinduism: Hindu Renaissance","Hinduism","Hinduism Family","1","12","0.12"
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","59","0.60"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","150","1.52"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","3","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","175","1.77"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","13","12,578","127.35"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","62","0.63"
"Reform Judaism","Judaism","Judaism Family","1","246","2.49"
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","1","54","0.55"
"Salvation Army","Evangelical Protestant","Holiness Family","1","55","0.56"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","3","804","8.14"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","5","1,901","19.25"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","136","1.38"
"United Methodist Church","Mainline Protestant","Methodist Family","5","1,332","13.49"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","87.0","31,053.0"," "
