"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Advent Christian Church","Evangelical Protestant","Adventist Family","1","55","0.02"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","1","300","0.09"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","276","0.09"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","16","1,939","0.61"
"American Sikh Council","Other","Other Groups Family","5","",""
"Anglican Catholic Church","Other Christians","Anglican/Episcopal Family","2","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","5","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","4","1,436","0.45"
"Armenian Apostolic Church (Catholicosate of Cilicia)","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,400","0.44"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,200","0.38"
"Armenian Evangelical Union of North America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","83","31,910","10.01"
"Association of Messianic Congregations","Other Christians","Other Groups Family","1","",""
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","10","3,824","1.20"
"Baha'i Faith","Other","Other Groups Family","22","3,117","0.98"
"Baptist Missionary Association of America","Evangelical Protestant","Baptist Family","1","",""
"Buddhism, Mahayana","Buddhism","Buddhism Family","17","14,483","4.54"
"Buddhism, Theravada","Buddhism","Buddhism Family","3","1,124","0.35"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","4","1,080","0.34"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","8","",""
"Catholic Church","Catholic","Catholic Liturgical Family","54","952,343","298.82"
"Chabad Judaism","Judaism","","19","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","16","11,683","3.67"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","5","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","13","1,121","0.35"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","13","19,110","6.00"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","210","0.07"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","24","1,530","0.48"
"Church of Christ, Scientist","Other Christians","Christian Science Family","9","",""
