"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Sikh Council","Other","Other Groups Family","1","",""
"Anglican Church in America","Mainline Protestant","Anglican/Episcopal Family","1","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","3","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","12","7,725","19.09"
"Baha'i Faith","Other","Other Groups Family","5","254","0.63"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","1,250","3.09"
"Catholic Church","Catholic","Catholic Liturgical Family","11","52,910","130.73"
"Chabad Judaism","Judaism","","1","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","4","332","0.82"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","0","0.00"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","6,011","14.85"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","203","0.50"
"Church of Christ, Scientist","Other Christians","Christian Science Family","2","",""
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","32","0.08"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","36","22,716","56.13"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","3","978","2.42"
"Churches of Christ","Evangelical Protestant","Restorationists Family","6","525","1.30"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","2","",""
"Converge Worldwide","Evangelical Protestant","Baptist Family","1","",""
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","700","1.73"
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","5","1,038","2.56"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","4","11,310","27.94"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","7","1,358","3.36"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Fellowship of Grace Brethren Churches","Mainline Protestant","Friends/Brethren Family","2","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","1","0","0.00"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","1","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","500","1.24"
"Hindu Yoga and Meditation","Hinduism","","4","758","1.87"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","5","742","1.83"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","18","4,090","10.11"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","3","1,223","3.02"
"Missionary Church, The","Evangelical Protestant","Holiness Family","1","0","0.00"
"Muslim Estimate","Islam","Islam Family","2","3,556","8.79"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","2","680","1.68"
"National Spiritualist Association of Churches","Other","Spiritualist Family","1","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","28","28,182","69.63"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","6","",""
"North American Lutheran Church","Evangelical Protestant","Lutheran Family","2","",""
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","576","1.42"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","385","0.95"
"Salvation Army","Evangelical Protestant","Holiness Family","2","284","0.70"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","11","3,955","9.77"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","16","1,438","3.55"
"The Local Churches","Evangelical Protestant","","2","",""
"Unitarian Universalist Association","Other Christians","Liberal Family","1","148","0.37"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","4","511","1.26"
"United Church of God","Other Christians","Adventist Family","1","",""
"United Methodist Church","Mainline Protestant","Methodist Family","9","1,308","3.23"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","3","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","3","",""
"Wesleyan Church","Evangelical Protestant","Holiness Family","2","495","1.22"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","225","0.56"
" "," "," ","255.0","156,398.0"," "
