"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","2","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","272","13.60"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","144","7.20"
"Baha'i Faith","Other","Other Groups Family","0","9","0.45"
"Catholic Church","Catholic","Catholic Liturgical Family","4","1,216","60.78"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","755","37.74"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","70","3.50"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","53","2.65"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","143","7.15"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","3","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","3","76","3.80"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","3","494","24.69"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","116","5.80"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","4","461","23.04"
"United Methodist Church","Mainline Protestant","Methodist Family","5","650","32.49"
"Wesleyan Church","Evangelical Protestant","Holiness Family","1","34","1.70"
" "," "," ","41.0","4,493.0"," "
