"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","239","12.08"
"Baha'i Faith","Other","Other Groups Family","0","11","0.56"
"Catholic Church","Catholic","Catholic Liturgical Family","4","3,741","189.03"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","1,164","58.82"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","45","2.27"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","99","5.00"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","65","3.28"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","150","7.58"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","3","434","21.93"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","3","38","1.92"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","2","980","49.52"
"Reformed Episcopal Church","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","1","79","3.99"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","5","215","10.86"
"United Methodist Church","Mainline Protestant","Methodist Family","5","324","16.37"
"Wesleyan Church","Evangelical Protestant","Holiness Family","1","20","1.01"
" "," "," ","39.0","7,604.0"," "
