"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","10","1,648","0.75"
"American Baptist Association","Evangelical Protestant","Baptist Family","2","217","0.10"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","8","1,044","0.48"
"American Sikh Council","Other","Other Groups Family","3","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","2","542","0.25"
"Armenian Apostolic Church (Catholicosate of Cilicia)","Orthodox","Eastern Liturgical (Orthodox) Family","1","180","0.08"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,200","0.55"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","65","19,205","8.77"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","5","1,322","0.60"
"Baha'i Faith","Other","Other Groups Family","10","834","0.38"
"Brethren in Christ Church","Evangelical Protestant","Friends/Brethren Family","6","",""
"Buddhism, Mahayana","Buddhism","Buddhism Family","9","7,293","3.33"
"Buddhism, Theravada","Buddhism","Buddhism Family","3","3,028","1.38"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","36","0.02"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","33","",""
"Catholic Church","Catholic","Catholic Liturgical Family","51","602,765","275.28"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","15","6,035","2.76"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","6","562","0.26"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","9","3,254","1.49"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","3","637","0.29"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","6","713","0.33"
"Church of Christ, Scientist","Other Christians","Christian Science Family","7","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","4","663","0.30"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","13","1,197","0.55"
"Church of God in Christ","Black Protestant","Pentecostal Family","12","14,242","6.50"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","7","331","0.15"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","96","51,957","23.73"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","17","3,252","1.49"
"Churches of Christ","Evangelical Protestant","Restorationists Family","29","4,344","1.98"
"Churches of God, General Conference","Evangelical Protestant","Presbyterian/Reformed Family","1","79","0.04"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","159","0.07"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","12","",""
"Conservative Judaism","Judaism","Judaism Family","3","688","0.31"
"Converge Worldwide","Evangelical Protestant","Baptist Family","12","1,080","0.49"
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","4","1,030","0.47"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","16","4,793","2.19"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","1","109","0.05"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","7","6,018","2.75"
"Evangelical Friends Church International","Evangelical Protestant","Friends/Brethren Family","3","136","0.06"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","17","5,666","2.59"
"Evangelical Methodist Church","Evangelical Protestant","Methodist Family","1","",""
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","73","0.03"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","1","26","0.01"
"Fellowship of Grace Brethren Churches","Mainline Protestant","Friends/Brethren Family","4","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","6","2,126","0.97"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","7","",""
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","3","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","1","",""
"Grace Gospel Fellowship","Evangelical Protestant","Independent Fundamentalist Family","3","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","2","650","0.30"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","4","70","0.03"
"Hinduism: Indian-American Hindu Temple Associations","Hinduism","Hinduism Family","1","348","0.16"
"Hinduism: Traditional Hindu Temples","Hinduism","Hinduism Family","1","200","0.09"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","9","",""
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","29","0.01"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","24","3,450","1.58"
"International Churches of Christ","Evangelical Protestant","Baptist Family","1","531","0.24"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","11","1,010","0.46"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","34","",""
"Korean Presbyterian Church Abroad","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Korean-American Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","21","5,663","2.59"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","1","0","0.00"
"Missionary Church, The","Evangelical Protestant","Holiness Family","7","894","0.41"
"Moravian Church in America (Unitas Fratrum), Northern Province","Mainline Protestant","","1","125","0.06"
"Muslim Estimate","Islam","Islam Family","8","11,376","5.20"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","3","2,038","0.93"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","5","605","0.28"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","192","127,724","58.33"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","1","232","0.11"
"Open Bible Churches","Evangelical Protestant","Pentecostal Family","2","266","0.12"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","45","0.02"
"Orthodox Judaism","Judaism","Judaism Family","3","180","0.08"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","153","0.07"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","6","652","0.30"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","15","4,393","2.01"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","2","154","0.07"
"Reform Judaism","Judaism","Judaism Family","3","1,123","0.51"
"Reformed Baptist Church","Evangelical Protestant","Baptist Family","1","",""
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","8","6,199","2.83"
"Salvation Army","Evangelical Protestant","Holiness Family","5","561","0.26"
"Seventh Day Baptist General Conference of the United States and Canada","Evangelical Protestant","Baptist Family","2","316","0.14"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","39","20,646","9.43"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","128","26,952","12.31"
"Unitarian Universalist Association","Other Christians","Liberal Family","3","263","0.12"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","8","1,433","0.65"
"United Methodist Church","Mainline Protestant","Methodist Family","20","5,134","2.34"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","15","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","3","",""
"Universal Fellowship of Metropolitan Community Churches","Mainline Protestant","Other Groups Family","1","157","0.07"
"Wesleyan Church","Evangelical Protestant","Holiness Family","2","225","0.10"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","5","723","0.33"
" "," "," ","1,142.0","973,004.0"," "
