"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","2","331","5.99"
"Baha'i Faith","Other","Other Groups Family","1","49","0.89"
"Catholic Church","Catholic","Catholic Liturgical Family","3","31,105","562.79"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","41","0.74"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","68","1.23"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","1,151","20.83"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","40","0.72"
"Converge Worldwide","Evangelical Protestant","Baptist Family","1","480","8.68"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","79","1.43"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","4","0.07"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","100","1.81"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","1","",""
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","1","51","0.92"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","7","1,090","19.72"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","109","1.97"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","310","5.61"
"Salvation Army","Evangelical Protestant","Holiness Family","1","77","1.39"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","1","275","4.98"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","1","32","0.58"
"United Methodist Church","Mainline Protestant","Methodist Family","1","298","5.39"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
" "," "," ","32.0","35,690.0"," "
