"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","5","1,902","0.87"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","180","0.08"
"American Baptist Association","Evangelical Protestant","Baptist Family","2","330","0.15"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","9","1,576","0.72"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,000","0.46"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","300","0.14"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","76","18,401","8.43"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","4","386","0.18"
"Baha'i Faith","Other","Other Groups Family","8","679","0.31"
"Baptist Missionary Association of America","Evangelical Protestant","Baptist Family","3","",""
"Brethren in Christ Church","Evangelical Protestant","Friends/Brethren Family","9","",""
"Buddhism, Theravada","Buddhism","Buddhism Family","13","9,099","4.17"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","3","",""
"Catholic Church","Catholic","Catholic Liturgical Family","53","500,136","229.25"
"Chabad Judaism","Judaism","","3","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","11","1,698","0.78"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","2","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","10","577","0.26"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","15","2,352","1.08"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","5","2,360","1.08"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","7","2,166","0.99"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","7","650","0.30"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","14","541","0.25"
"Church of God in Christ","Black Protestant","Pentecostal Family","14","4,848","2.22"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","5","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","83","52,373","24.01"
"Church of the Living God (Christian Workers for Fellowship)","Black Protestant","Pentecostal Family","1","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","45","5,761","2.64"
