"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","5","853","0.28"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","4","524","0.17"
"American Association of Lutheran Churches","Evangelical Protestant","Lutheran Family","1","",""
"American Baptist Association","Evangelical Protestant","Baptist Family","1","18","0.01"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","25","3,135","1.01"
"American Sikh Council","Other","Other Groups Family","2","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","8","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","2","543","0.18"
"Apostolic Christian Church of America","Evangelical Protestant","Froehlich Churches Family","1","60","0.02"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,150","0.37"
"Armenian Evangelical Union of North America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Assemblies of God International Fellowship","Evangelical Protestant","Pentecostal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","66","23,905","7.72"
"Associate Reformed Presbyterian Church (General Synod)","Evangelical Protestant","Presbyterian/Reformed Family","2","66","0.02"
"Association of Free Lutheran Congregations","Evangelical Protestant","Lutheran Family","2","",""
"Association of Reformed Baptist Churches of America","Evangelical Protestant","Baptist Family","1","",""
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","5","920","0.30"
"Baha'i Faith","Other","Other Groups Family","19","3,238","1.05"
"Buddhism, Mahayana","Buddhism","Buddhism Family","40","33,289","10.75"
"Buddhism, Theravada","Buddhism","Buddhism Family","9","4,201","1.36"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","10","809","0.26"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","35","",""
"Catholic Church","Catholic","Catholic Liturgical Family","115","801,850","259.05"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","18","1,978","0.64"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","2","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","11","3,279","1.06"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","13","3,198","1.03"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","335","0.11"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","7","975","0.31"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness Family","2","",""
"Church of Christ, Scientist","Other Christians","Christian Science Family","15","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","9","1,604","0.52"
