"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","3","726","0.90"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","112","0.14"
"Alliance of Baptists","Mainline Protestant","Baptist Family","1","",""
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","13","4,930","6.12"
"American Sikh Council","Other","Other Groups Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,000","1.24"
"Armenian Apostolic Church (Catholicosate of Cilicia)","Orthodox","Eastern Liturgical (Orthodox) Family","1","360","0.45"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,800","2.24"
"Armenian Evangelical Union of North America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","19","4,193","5.21"
"Baha'i Faith","Other","Other Groups Family","1","790","0.98"
"Buddhism, Mahayana","Buddhism","Buddhism Family","28","14,020","17.41"
"Buddhism, Theravada","Buddhism","Buddhism Family","2","2,729","3.39"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","10","991","1.23"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","2","",""
"Catholic Church","Catholic","Catholic Liturgical Family","50","120,988","150.25"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","2","681","0.85"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","82","0.10"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","34","0.04"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","2","514","0.64"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","348","0.43"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness Family","2","",""
"Church of Christ, Scientist","Other Christians","Christian Science Family","4","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","65","0.08"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","5","491","0.61"
"Church of God in Christ","Black Protestant","Pentecostal Family","12","1,179","1.46"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","2","178","0.22"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","5","5,923","7.36"
"Church of our Lord Jesus Christ of the Apostolic Faith, Inc.","Black Protestant","Pentecostal Family","2","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","9","582","0.72"
"Churches of Christ","Evangelical Protestant","Restorationists Family","7","827","1.03"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.20"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Conservative Judaism","Judaism","Judaism Family","3","1,685","2.09"
"Converge Worldwide","Evangelical Protestant","Baptist Family","3","270","0.34"
"Cumberland Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","3","901","1.12"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","18","6,145","7.63"
