"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","1","258","0.38"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","193","0.28"
"American Baptist Association","Evangelical Protestant","Baptist Family","4","258","0.38"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","5","1,851","2.70"
"American Sikh Council","Other","Other Groups Family","2","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","2","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","24","7,739","11.29"
"Association of Free Lutheran Congregations","Evangelical Protestant","Lutheran Family","1","",""
"Baha'i Faith","Other","Other Groups Family","1","425","0.62"
"Brethren Church (Ashland, Ohio)","Evangelical Protestant","Friends/Brethren Family","3","309","0.45"
"Buddhism, Mahayana","Buddhism","Buddhism Family","5","3,570","5.21"
"Buddhism, Theravada","Buddhism","Buddhism Family","6","3,152","4.60"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","4","",""
"Catholic Church","Catholic","Catholic Liturgical Family","18","183,692","268.04"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","8","1,523","2.22"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","241","0.35"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","3","193","0.28"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","193","0.28"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","6","2,843","4.15"
"Church of Christ, Scientist","Other Christians","Christian Science Family","2","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","2","12","0.02"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","5","565","0.82"
"Church of God in Christ","Black Protestant","Pentecostal Family","7","673","0.98"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","24","15,653","22.84"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","7","1,626","2.37"
"Churches of Christ","Evangelical Protestant","Restorationists Family","20","2,023","2.95"
"Churches of God, General Conference","Evangelical Protestant","Presbyterian/Reformed Family","1","36","0.05"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.23"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","6","",""
"Converge Worldwide","Evangelical Protestant","Baptist Family","3","270","0.39"
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","118","0.17"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","3","657","0.96"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","4","577","0.84"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","4","220","0.32"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","3","1,380","2.01"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","31","0.05"
"Fellowship of Grace Brethren Churches","Mainline Protestant","Friends/Brethren Family","8","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","2","157","0.23"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","4","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","2","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,250","1.82"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","2","50","0.07"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","2","",""
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","15","0.02"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","10","811","1.18"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","2","228","0.33"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","10","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","5","2,795","4.08"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","590","0.86"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","2","376","0.55"
"Muslim Estimate","Islam","Islam Family","9","9,980","14.56"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","2","119","0.17"
"National Baptist Convention of America International, Inc.","Black Protestant","Baptist Family","4","1,354","1.98"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","1","193","0.28"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","2","387","0.56"
"National Spiritualist Association of Churches","Other","Spiritualist Family","1","",""
"New Apostolic Church USA","Other Christians","Other Groups Family","1","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","57","25,366","37.01"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","6","4,042","5.90"
"Open Bible Churches","Evangelical Protestant","Pentecostal Family","2","465","0.68"
"Orthodox Judaism","Judaism","Judaism Family","1","60","0.09"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","13","1,414","2.06"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","8","1,742","2.54"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","146","0.21"
"Reform Judaism","Judaism","Judaism Family","1","675","0.98"
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","2","1,218","1.78"
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","2","64","0.09"
"Salvation Army","Evangelical Protestant","Holiness Family","2","809","1.18"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","14","4,515","6.59"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","46","7,639","11.15"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","195","0.28"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","2","353","0.52"
"United Methodist Church","Mainline Protestant","Methodist Family","12","4,542","6.63"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","17","",""
"United Reformed Churches in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
"Universal Fellowship of Metropolitan Community Churches","Mainline Protestant","Other Groups Family","1","68","0.10"
"Wesleyan Church","Evangelical Protestant","Holiness Family","1","99","0.14"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","111","0.16"
" "," "," ","456.0","302,267.0"," "
