"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","80","0.28"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","2","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","12","1,038","3.68"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","6","1,726","6.11"
"Baha'i Faith","Other","Other Groups Family","1","226","0.80"
"Buddhism, Mahayana","Buddhism","Buddhism Family","2","1,275","4.51"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","2","660","2.34"
"Catholic Church","Catholic","Catholic Liturgical Family","15","57,298","202.88"
"Chabad Judaism","Judaism","","1","",""
"Christadelphians","Other Christians","Other Groups Family","2","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","156","0.55"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","350","1.24"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","88","0.31"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","",""
"Church of God in Christ","Black Protestant","Pentecostal Family","1","700","2.48"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","9","5,247","18.58"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","6","3,964","14.04"
"Churches of Christ","Evangelical Protestant","Restorationists Family","8","506","1.79"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Conservative Judaism","Judaism","Judaism Family","1","149","0.53"
"Converge Worldwide","Evangelical Protestant","Baptist Family","2","",""
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","3","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","7","918","3.25"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","5","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","4","707","2.50"
"Fellowship of Grace Brethren Churches","Mainline Protestant","Friends/Brethren Family","2","",""
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","1","20","0.07"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","3","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","90","0.32"
"Hindu Yoga and Meditation","Hinduism","","4","529","1.87"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","4","2,388","8.46"
"International Churches of Christ","Evangelical Protestant","Baptist Family","1","80","0.28"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","26","6,276","22.22"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","4","1,301","4.61"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","348","1.23"
"Mennonite Church, USA","Evangelical Protestant","Mennonite/Amish Family","1","69","0.24"
"Muslim Estimate","Islam","Islam Family","1","512","1.81"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","2","334","1.18"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","1","100","0.35"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","29","15,470","54.78"
"North American Lutheran Church","Evangelical Protestant","Lutheran Family","1","",""
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","5","1,158","4.10"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","2","295","1.04"
"Reform Judaism","Judaism","Judaism Family","1","216","0.76"
"Reformed Episcopal Church","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Salvation Army","Evangelical Protestant","Holiness Family","1","49","0.17"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","6","1,709","6.05"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","11","914","3.24"
"Syrian (Syriac) Orthodox Church of Antioch","Orthodox","Eastern Liturgical (Orthodox) Family","1","60","0.21"
"The Local Churches","Evangelical Protestant","","1","",""
"Unitarian Universalist Association","Other Christians","Liberal Family","2","314","1.11"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","3","308","1.09"
"United Methodist Church","Mainline Protestant","Methodist Family","6","1,419","5.02"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","5","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","3","",""
" "," "," ","230.0","109,047.0"," "
