"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","2","278","0.39"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","10","2,447","3.41"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","25","3,299","4.59"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","2","424","0.59"
"Baha'i Faith","Other","Other Groups Family","7","603","0.84"
"Buddhism, Mahayana","Buddhism","Buddhism Family","12","4,067","5.66"
"Buddhism, Theravada","Buddhism","Buddhism Family","3","1,947","2.71"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","2","237","0.33"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","2","",""
"Catholic Church","Catholic","Catholic Liturgical Family","22","243,634","339.11"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","5","488","0.68"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","42","0.06"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","266","0.37"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","2","242","0.34"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","30","0.04"
"Church of Christ, Scientist","Other Christians","Christian Science Family","3","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","2","75","0.10"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","5","747","1.04"
"Church of God in Christ","Black Protestant","Pentecostal Family","5","557","0.78"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","21","13,240","18.43"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","3","246","0.34"
"Churches of Christ","Evangelical Protestant","Restorationists Family","7","746","1.04"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.22"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","8","",""
"Conservative Judaism","Judaism","Judaism Family","2","1,663","2.31"
"Converge Worldwide","Evangelical Protestant","Baptist Family","3","270","0.38"
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","200","0.28"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","16","5,149","7.17"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","3","1,421","1.98"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","3","104","0.14"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","10","1,798","2.50"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","1","101","0.14"
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","6","510","0.71"
"Georgian Orthodox Church in North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","100","0.14"
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","3,750","5.22"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","3","60","0.08"
"Hinduism: Hindu Renaissance","Hinduism","Hinduism Family","1","12","0.02"
"Hinduism: Indian-American Hindu Temple Associations","Hinduism","Hinduism Family","1","238","0.33"
"Hinduism: Traditional Hindu Temples","Hinduism","Hinduism Family","2","150","0.21"
"Hungarian Reformed Churches (Additional)","Mainline Protestant","Presbyterian/Reformed Family","1","",""
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","5","541","0.75"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","1","42","0.06"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","10","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","7","1,600","2.23"
"Muslim Estimate","Islam","Islam Family","4","4,436","6.17"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","3","969","1.35"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","29","8,802","12.25"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","500","0.70"
"Orthodox Judaism","Judaism","Judaism Family","1","60","0.08"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","48","0.07"
"Pillar of Fire","Evangelical Protestant","Holiness Family","1","225","0.31"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","9","8,387","11.67"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","0","0.00"
"Reform Judaism","Judaism","Judaism Family","2","4,123","5.74"
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","800","1.11"
"Salvation Army","Evangelical Protestant","Holiness Family","1","65","0.09"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","9","1,239","1.72"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","29","3,448","4.80"
"Unitarian Universalist Association","Other Christians","Liberal Family","2","602","0.84"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","14","2,374","3.30"
"United Methodist Church","Mainline Protestant","Methodist Family","12","3,579","4.98"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","2","",""
"Universal Fellowship of Metropolitan Community Churches","Mainline Protestant","Other Groups Family","1","64","0.09"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","135","0.19"
" "," "," ","357.0","331,338.0"," "
