"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","3","316","0.75"
"American Baptist Association","Evangelical Protestant","Baptist Family","2","49","0.12"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","6","431","1.02"
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","2","350","0.83"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","400","0.94"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","12","3,176","7.49"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","4","700","1.65"
"Baha'i Faith","Other","Other Groups Family","3","309","0.73"
"Buddhism, Mahayana","Buddhism","Buddhism Family","6","3,281","7.74"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","4","573","1.35"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","6","",""
"Catholic Church","Catholic","Catholic Liturgical Family","17","146,940","346.64"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","165","0.39"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","188","0.44"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","55","0.13"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","121","0.29"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","2","109","0.26"
"Church of Christ, Scientist","Other Christians","Christian Science Family","4","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","84","0.20"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","2","177","0.42"
"Church of God in Christ","Black Protestant","Pentecostal Family","4","607","1.43"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","7","380","0.90"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","14","7,241","17.08"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","4","810","1.91"
"Churches of Christ","Evangelical Protestant","Restorationists Family","9","714","1.68"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","164","0.39"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","3","",""
"Conservative Congregational Christian Conference","Evangelical Protestant","Presbyterian/Reformed Family","1","121","0.29"
"Converge Worldwide","Evangelical Protestant","Baptist Family","6","2,580","6.09"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","7","3,136","7.40"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","4","1,402","3.31"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","4","570","1.34"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","6","1,688","3.98"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","91","0.21"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","10","0.02"
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","2","520","1.23"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","2","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","650","1.53"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","5","153","0.36"
"Hinduism: Hindu Renaissance","Hinduism","Hinduism Family","1","12","0.03"
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","47","0.11"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","12","3,073","7.25"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","8","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","3","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","8","1,808","4.27"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","244","0.58"
"Missionary Church, The","Evangelical Protestant","Holiness Family","2","182","0.43"
"Muslim Estimate","Islam","Islam Family","2","1,259","2.97"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","5","935","2.21"
"National Spiritualist Association of Churches","Other","Spiritualist Family","1","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","23","3,682","8.69"
"North American Lutheran Church","Evangelical Protestant","Lutheran Family","1","",""
"Open Bible Churches","Evangelical Protestant","Pentecostal Family","1","200","0.47"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","2","66","0.16"
"Orthodox Judaism","Judaism","Judaism Family","1","60","0.14"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","2","153","0.36"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","109","0.26"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","11","2,877","6.79"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","105","0.25"
"Reform Judaism","Judaism","Judaism Family","3","2,152","5.08"
"Reformed Baptist Church","Evangelical Protestant","Baptist Family","1","",""
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","70","0.17"
"Salvation Army","Evangelical Protestant","Holiness Family","2","467","1.10"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","5","1,049","2.47"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","19","1,766","4.17"
"Unitarian Universalist Association","Other Christians","Liberal Family","2","737","1.74"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","2","194","0.46"
"United Methodist Church","Mainline Protestant","Methodist Family","8","2,049","4.83"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","3","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","3","",""
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","2","234","0.55"
" "," "," ","299.0","201,791.0"," "
