"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","2","502","0.26"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","3","660","0.34"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","190","0.10"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","10","1,150","0.59"
"American Ethical Union","Other","Liberal Family","1","",""
"American Sikh Council","Other","Other Groups Family","6","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","4","",""
"Anglican Province of Christ the King","Mainline Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","2","1,004","0.52"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","2,000","1.03"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","46","14,368","7.42"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","3","544","0.28"
"Baha'i Faith","Other","Other Groups Family","11","1,393","0.72"
"Buddhism, Mahayana","Buddhism","Buddhism Family","20","11,558","5.97"
"Buddhism, Theravada","Buddhism","Buddhism Family","12","7,395","3.82"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","6","4,395","2.27"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","62","503,382","259.98"
"Chabad Judaism","Judaism","","12","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","10","2,695","1.39"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","2","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","8","174","0.09"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","9","1,493","0.77"
"Christian Congregation in North America","Evangelical Protestant","Pentecostal Family","1","",""
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","160","0.08"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","6","456","0.24"
"Church of Christ, Scientist","Other Christians","Christian Science Family","5","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","3","5,220","2.70"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","8","692","0.36"
"Church of God in Christ","Black Protestant","Pentecostal Family","6","1,190","0.61"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","3","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","42","26,502","13.69"
"Church of the Lutheran Confession","Evangelical Protestant","Lutheran Family","1","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","20","1,944","1.00"
"Churches of Christ","Evangelical Protestant","Restorationists Family","14","1,817","0.94"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","16","",""
"Conservative Judaism","Judaism","Judaism Family","3","3,553","1.83"
"Converge Worldwide","Evangelical Protestant","Baptist Family","6","",""
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","600","0.31"
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","5","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","17","4,176","2.16"
"Eritrean Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","910","0.47"
"Ethiopian Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","3","3,250","1.68"
"Evangelical Association of Reformed and Congregational Christian Churches","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","7","501","0.26"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","21","4,084","2.11"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","2","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","2","68","0.04"
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","2","132","0.07"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","6","",""
"General Church of the New Jerusalem","Other Christians","Spiritualist Family","1","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","2","",""
"Grace Communion International","Evangelical Protestant","","1","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","3","2,400","1.24"
"Hindu Yoga and Meditation","Hinduism","","30","9,002","4.65"
"Hindu, Traditional Temples","Hinduism","Hinduism Family","6","39,831","20.57"
"Independent Judaism","Judaism","","2","325","0.17"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","6","582","0.30"
"International Churches of Christ","Evangelical Protestant","Baptist Family","1","4,500","2.32"
"Jain","Other","Other Groups Family","1","",""
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","65","16,086","8.31"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","11","2,063","1.07"
