"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","2","72","0.27"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","89","0.34"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","200","0.76"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","8","1,201","4.58"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","2","399","1.52"
"Baha'i Faith","Other","Other Groups Family","6","706","2.69"
"Buddhism, Mahayana","Buddhism","Buddhism Family","8","2,132","8.13"
"Buddhism, Theravada","Buddhism","Buddhism Family","1","292","1.11"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","7","730","2.78"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","3","",""
"Catholic Church","Catholic","Catholic Liturgical Family","13","50,500","192.47"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","15","0.06"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","137","0.52"
"Church of Christ, Scientist","Other Christians","Christian Science Family","2","",""
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","3","242","0.92"
"Church of God in Christ","Black Protestant","Pentecostal Family","2","238","0.91"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","6","3,709","14.14"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","2","517","1.97"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","165","0.63"
"Communion of Reformed Evangelical Churches","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","5","",""
"Conservative Judaism","Judaism","Judaism Family","1","124","0.47"
"Converge Worldwide","Evangelical Protestant","Baptist Family","1","90","0.34"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","6","1,626","6.20"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","1","183","0.70"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","200","0.76"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","3","695","2.65"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","7","0.03"
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","1","179","0.68"
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","150","0.57"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","6","258","0.98"
"Hinduism: Hindu Renaissance","Hinduism","Hinduism Family","2","24","0.09"
"Hinduism: Indian-American Hindu Temple Associations","Hinduism","Hinduism Family","1","110","0.42"
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","93","0.35"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","4","588","2.24"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","2","151","0.58"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","7","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","3","345","1.31"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","2","39","0.15"
"Missionary Church, The","Evangelical Protestant","Holiness Family","1","116","0.44"
"Muslim Estimate","Islam","Islam Family","1","1,109","4.23"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","267","1.02"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","18","6,713","25.58"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","217","0.83"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","7","805","3.07"
"Progressive National Baptist Convention, Inc.","Black Protestant","Baptist Family","1","0","0.00"
"Reform Judaism","Judaism","Judaism Family","1","1,247","4.75"
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","4","0.02"
"Salvation Army","Evangelical Protestant","Holiness Family","2","625","2.38"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","5","1,293","4.93"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","7","488","1.86"
"Tao","Other","Other Groups Family","1","",""
"Unitarian Universalist Association","Other Christians","Liberal Family","1","145","0.55"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","3","624","2.38"
"United Methodist Church","Mainline Protestant","Methodist Family","4","713","2.72"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","2","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
"Vicariate for the Palestinian and Jordanian Orthodox Christian Communities in America","Orthodox","Eastern Liturgical (Orthodox) Family","1","750","2.86"
" "," "," ","184.0","81,322.0"," "
