"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","2","210","1.18"
"American Sikh Council","Other","Other Groups Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","6","879","4.96"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","150","0.85"
"Baha'i Faith","Other","Other Groups Family","1","84","0.47"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","11","0.06"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","4","",""
"Catholic Church","Catholic","Catholic Liturgical Family","8","8,629","48.69"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","4","5,005","28.24"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","221","1.25"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","120","0.68"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","40","0.23"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","2","135","0.76"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","12","0.07"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","11","6,843","38.61"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","3","913","5.15"
"Churches of Christ","Evangelical Protestant","Restorationists Family","6","708","3.99"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.89"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","6","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","527","2.97"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","326","1.84"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","479","2.70"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","4","0.02"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","2","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","75","0.42"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","11","0.06"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","7","566","3.19"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","9","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","2","504","2.84"
"Muslim Estimate","Islam","Islam Family","1","35","0.20"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","1","55","0.31"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","27","15,194","85.73"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","30","0.17"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","25","0.14"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","5","544","3.07"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","260","1.47"
"Reform Judaism","Judaism","Judaism Family","1","132","0.74"
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","1","29","0.16"
"Salvation Army","Evangelical Protestant","Holiness Family","1","382","2.16"
"Serbian Orthodox Church in North and South America","Orthodox","Eastern Liturgical (Orthodox) Family","3","86","0.49"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","7","1,720","9.71"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","12","918","5.18"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","10","0.06"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","260","1.47"
"United Methodist Church","Mainline Protestant","Methodist Family","4","1,072","6.05"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","2","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","2","490","2.76"
" "," "," ","164.0","47,852.0"," "
