"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","36","0.82"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","6","139","3.15"
"Baha'i Faith","Other","Other Groups Family","0","38","0.86"
"Berean Fellowship of Churches","Evangelical Protestant","Independent Fundamentalist Family","3","",""
"Bible Presbyterian Church (General Synod)","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","250","5.67"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","260","5.90"
"Catholic Church","Catholic","Catholic Liturgical Family","12","12,148","275.61"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","125","2.84"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","101","2.29"
"Church of God in Christ","Black Protestant","Pentecostal Family","1","120","2.72"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","5","2,185","49.57"
"Church of the Genuine Orthodox Christians of America","Orthodox","Eastern Liturgical (Orthodox) Family","3","97","2.20"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","3","349","7.92"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","60","1.36"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","43","0.98"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","171","3.88"
"Evangelical Methodist Church","Evangelical Protestant","Methodist Family","1","",""
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Hindu Yoga and Meditation","Hinduism","","2","452","10.26"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","150","3.40"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","5","942","21.37"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","9","1,300","29.49"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","",""
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","3","351","7.96"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","6","1,054","23.91"
"United Methodist Church","Mainline Protestant","Methodist Family","5","478","10.84"
"United Reformed Churches in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","24","0.54"
" "," "," ","83.0","20,873.0"," "
