"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","2","404","0.89"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","192","0.42"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","11","1,489","3.28"
"American Sikh Council","Other","Other Groups Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","225","0.50"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","21","3,778","8.33"
"Baha'i Faith","Other","Other Groups Family","3","226","0.50"
"Baptist Missionary Association of America","Evangelical Protestant","Baptist Family","1","",""
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","28","0.06"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","2","",""
"Catholic Church","Catholic","Catholic Liturgical Family","11","72,568","160.02"
"Chabad Judaism","Judaism","","1","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","2","212","0.47"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","99","0.22"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","4","1,636","3.61"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","3","636","1.40"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","111","0.24"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness Family","1","",""
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","4","449","0.99"
"Church of God in Christ","Black Protestant","Pentecostal Family","8","1,212","2.67"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","2","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","18","10,494","23.14"
"Church of the Living God (Christian Workers for Fellowship)","Black Protestant","Pentecostal Family","1","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","6","2,727","6.01"
"Churches of Christ","Evangelical Protestant","Restorationists Family","13","1,194","2.63"
"Churches of God, General Conference","Evangelical Protestant","Presbyterian/Reformed Family","1","10","0.02"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","4","",""
"Converge Worldwide","Evangelical Protestant","Baptist Family","4","",""
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","5","874","1.93"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","3","547","1.21"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","2","252","0.56"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","3","",""
"Grace Communion International","Evangelical Protestant","","2","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","350","0.77"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","4","238","0.52"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","24","6,370","14.05"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","3","757","1.67"
"Muslim Estimate","Islam","Islam Family","3","1,214","2.68"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","36","0.08"
"National Baptist Convention of America International, Inc.","Black Protestant","Baptist Family","1","456","1.01"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","5","1,932","4.26"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","8","2,674","5.90"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","31","14,320","31.58"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","5","429","0.95"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Primitive Baptists Associations","Evangelical Protestant","Baptist Family","1","94","0.21"
"Reform Judaism","Judaism","Judaism Family","1","143","0.32"
"Salvation Army","Evangelical Protestant","Holiness Family","1","74","0.16"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","6","1,749","3.86"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","38","14,326","31.59"
"The Local Churches","Evangelical Protestant","","1","",""
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","2","140","0.31"
"United Methodist Church","Mainline Protestant","Methodist Family","6","1,378","3.04"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","4","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
"Wesleyan Church","Evangelical Protestant","Holiness Family","1","202","0.45"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","2","225","0.50"
" "," "," ","303.0","146,470.0"," "
