"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","36","0.07"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","153","0.32"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","37","0.08"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","17","1,634","3.38"
"Baha'i Faith","Other","Other Groups Family","2","318","0.66"
"Buddhism, Mahayana","Buddhism","Buddhism Family","8","5,503","11.37"
"Buddhism, Theravada","Buddhism","Buddhism Family","7","2,344","4.84"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","11","1,298","2.68"
"Bulgarian Eastern Orthodox Diocese of the USA, Canada, and Australia","Orthodox","Eastern Liturgical (Orthodox) Family","1","110","0.23"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","5","",""
"Catholic Church","Catholic","Catholic Liturgical Family","23","107,737","222.65"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","4","512","1.06"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","30","0.06"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","3","775","1.60"
"Church of Christ, Scientist","Other Christians","Christian Science Family","5","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","2","30","0.06"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","2","302","0.62"
"Church of God in Christ","Black Protestant","Pentecostal Family","1","102","0.21"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","180","0.37"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","17","9,069","18.74"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","3","1,019","2.11"
"Churches of Christ","Evangelical Protestant","Restorationists Family","11","842","1.74"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.33"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","3","",""
"Conservative Judaism","Judaism","Judaism Family","1","518","1.07"
"Converge Worldwide","Evangelical Protestant","Baptist Family","1","90","0.19"
"Cumberland Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","15","0.03"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","8","1,756","3.63"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","2","1,531","3.16"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","115","0.24"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","5","2,382","4.92"
"Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","35","0.07"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","14","0.03"
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","1","52","0.11"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","4","",""
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","1","25","0.05"
"Hinduism: Hindu Renaissance","Hinduism","Hinduism Family","1","12","0.02"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","3","111","0.23"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","5","684","1.41"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","13","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","8","2,269","4.69"
"Muslim Estimate","Islam","Islam Family","2","2,217","4.58"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","1","55","0.11"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","35","7,441","15.38"
"Open Bible Churches","Evangelical Protestant","Pentecostal Family","1","29","0.06"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","2","272","0.56"
"Orthodox Judaism","Judaism","Judaism Family","1","60","0.12"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","4","435","0.90"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","11","2,437","5.04"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","2","224","0.46"
"Reconstructionist Judaism","Judaism","Judaism Family","1","200","0.41"
"Reform Judaism","Judaism","Judaism Family","2","1,202","2.48"
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","1","97","0.20"
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","2","220","0.45"
"Salvation Army","Evangelical Protestant","Holiness Family","2","477","0.99"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","10","2,262","4.67"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","19","4,727","9.77"
"Unitarian Universalist Association","Other Christians","Liberal Family","2","460","0.95"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","8","1,592","3.29"
"United Methodist Church","Mainline Protestant","Methodist Family","9","2,923","6.04"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","5","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
"Universal Fellowship of Metropolitan Community Churches","Mainline Protestant","Other Groups Family","2","65","0.13"
"Vicariate for the Palestinian and Jordanian Orthodox Christian Communities in America","Orthodox","Eastern Liturgical (Orthodox) Family","1","750","1.55"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","49","0.10"
" "," "," ","315.0","169,992.0"," "
