"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","90","0.18"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","143","0.29"
"American Sikh Council","Other","Other Groups Family","1","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","17","1,600","3.27"
"Baha'i Faith","Other","Other Groups Family","2","302","0.62"
"Buddhism, Mahayana","Buddhism","Buddhism Family","5","5,592","11.44"
"Buddhism, Theravada","Buddhism","Buddhism Family","7","2,157","4.41"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","4","710","1.45"
"Bulgarian Eastern Orthodox Diocese of the USA, Canada, and Australia","Orthodox","Eastern Liturgical (Orthodox) Family","1","85","0.17"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","22","114,837","234.91"
"Chabad Judaism","Judaism","","2","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","4","589","1.20"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","18","0.04"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","3","651","1.33"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","2","332","0.68"
"Church of God in Christ","Black Protestant","Pentecostal Family","1","160","0.33"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","2","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","12","6,996","14.31"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","4","424","0.87"
"Churches of Christ","Evangelical Protestant","Restorationists Family","10","545","1.11"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","3","",""
"Conservative Judaism","Judaism","Judaism Family","1","405","0.83"
"Converge Worldwide","Evangelical Protestant","Baptist Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","7","1,319","2.70"
"Eritrean Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","336","0.69"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","2","406","0.83"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","5","1,115","2.28"
"Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","30","0.06"
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","3","108","0.22"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","4","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,000","2.05"
"Hindu Yoga and Meditation","Hinduism","","7","1,694","3.47"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","3","296","0.61"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","29","6,700","13.71"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","8","1,340","2.74"
"Muslim Estimate","Islam","Islam Family","2","1,024","2.09"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","1","18","0.04"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","25","12,300","25.16"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","220","0.45"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","3","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","10","1,660","3.40"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","141","0.29"
"Reconstructionist Judaism","Judaism","Judaism Family","1","370","0.76"
"Reform Judaism","Judaism","Judaism Family","1","1,191","2.44"
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","1","39","0.08"
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","180","0.37"
"Salvation Army","Evangelical Protestant","Holiness Family","2","166","0.34"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","12","2,181","4.46"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","20","4,893","10.01"
"Unitarian Universalist Association","Other Christians","Liberal Family","2","407","0.83"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","8","1,196","2.45"
"United Church of God","Other Christians","Adventist Family","1","",""
"United Methodist Church","Mainline Protestant","Methodist Family","9","1,909","3.90"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","4","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","2","",""
"Universal Fellowship of Metropolitan Community Churches","Mainline Protestant","Other Groups Family","1","23","0.05"
"Wesleyan Church","Evangelical Protestant","Holiness Family","2","96","0.20"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","53","0.11"
" "," "," ","295.0","178,047.0"," "
