"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","1","202","0.37"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","192","0.35"
"American Baptist Association","Evangelical Protestant","Baptist Family","5","862","1.56"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","2","769","1.39"
"American Sikh Council","Other","Other Groups Family","4","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","5","",""
"Anglican Province of Christ the King","Mainline Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","150","0.27"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","200","0.36"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","36","16,655","30.12"
"Association of Free Lutheran Congregations","Evangelical Protestant","Lutheran Family","1","143","0.26"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","100","0.18"
"Baha'i Faith","Other","Other Groups Family","2","271","0.49"
"Buddhism, Mahayana","Buddhism","Buddhism Family","2","692","1.25"
"Buddhism, Theravada","Buddhism","Buddhism Family","2","821","1.48"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","18","116,027","209.86"
"Chabad Judaism","Judaism","","1","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","2","187","0.34"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","3","25","0.05"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","759","1.37"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","160","0.29"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","2","546","0.99"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","220","0.40"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","4","82","0.15"
"Church of God in Christ","Black Protestant","Pentecostal Family","2","470","0.85"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","",""
"Church of Jesus Christ (Bickertonite)","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","21","12,243","22.14"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","3","346","0.63"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","10","1,771","3.20"
"Churches of Christ","Evangelical Protestant","Restorationists Family","18","1,729","3.13"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","7","",""
"Conservative Judaism","Judaism","Judaism Family","1","294","0.53"
"Converge Worldwide","Evangelical Protestant","Baptist Family","2","",""
"Covenant Presbyterian Church","Evangelical Protestant","","1","",""
"Dunkard Brethren Church","Evangelical Protestant","Friends/Brethren Family","1","36","0.07"
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","370","0.67"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","9","1,363","2.47"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","5","",""
"Evangelical Friends Church International","Evangelical Protestant","Friends/Brethren Family","1","41","0.07"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","309","0.56"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Fellowship of Grace Brethren Churches","Mainline Protestant","Friends/Brethren Family","2","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","3","261","0.47"
"General Association of General Baptists","Evangelical Protestant","Baptist Family","1","110","0.20"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Grace Communion International","Evangelical Protestant","","1","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","700","1.27"
"Hindu Yoga and Meditation","Hinduism","","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","6","722","1.31"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","34","9,844","17.81"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","4","998","1.81"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","164","0.30"
"Missionary Church, The","Evangelical Protestant","Holiness Family","1","57","0.10"
"Muslim Estimate","Islam","Islam Family","3","2,694","4.87"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","72","0.13"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","4","76","0.14"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","7","1,520","2.75"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","35","24,660","44.60"
"Old Brethren (California)","Evangelical Protestant","Friends/Brethren Family","1","30","0.05"
"Old German Baptist Brethren Church","Evangelical Protestant","Friends/Brethren Family","1","129","0.23"
"Old German Baptist Brethren Church, New Conference","Evangelical Protestant","Friends/Brethren Family","2","446","0.81"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","13","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","4","567","1.03"
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","2","188","0.34"
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","1","13","0.02"
"Salvation Army","Evangelical Protestant","Holiness Family","2","232","0.42"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","12","3,682","6.66"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","40","5,970","10.80"
"The Local Churches","Evangelical Protestant","","2","",""
"Unitarian Universalist Association","Other Christians","Liberal Family","1","125","0.23"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","192","0.35"
"United Methodist Church","Mainline Protestant","Methodist Family","8","2,334","4.22"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","14","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","278","0.50"
" "," "," ","406.0","214,099.0"," "
