"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Association of Lutheran Churches","Evangelical Protestant","Lutheran Family","1","",""
"American Baptist Association","Evangelical Protestant","Baptist Family","1","108","1.14"
"American Sikh Council","Other","Other Groups Family","4","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","5","1,883","19.88"
"Baha'i Faith","Other","Other Groups Family","0","9","0.09"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","3","9,181","96.91"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","2","762","8.04"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","171","1.80"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","2","2,956","31.20"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","7","3,135","33.09"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","1","108","1.14"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","2","2,777","29.31"
"Churches of Christ","Evangelical Protestant","Restorationists Family","4","458","4.83"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","1.67"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","40","0.42"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","450","4.75"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Hinduism: Traditional Hindu Temples","Hinduism","Hinduism Family","1","300","3.17"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","151","1.59"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","241","2.54"
"Muslim Estimate","Islam","Islam Family","1","1,109","11.71"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","4","2,525","26.65"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","217","2.29"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","745","7.86"
"Reform Judaism","Judaism","Judaism Family","1","54","0.57"
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","1","65","0.69"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","458","4.83"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","6","882","9.31"
"United Methodist Church","Mainline Protestant","Methodist Family","5","839","8.86"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
" "," "," ","70.0","29,782.0"," "
