"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","162","1.63"
"American Sikh Council","Other","Other Groups Family","3","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","5","1,375","13.80"
"Baha'i Faith","Other","Other Groups Family","0","11","0.11"
"Catholic Church","Catholic","Catholic Liturgical Family","3","10,789","108.29"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","2","728","7.31"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","125","1.25"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","5,490","55.10"
"Church of God in Christ","Black Protestant","Pentecostal Family","1","30","0.30"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","7","4,081","40.96"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","1","77","0.77"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","2","3,077","30.88"
"Churches of Christ","Evangelical Protestant","Restorationists Family","3","281","2.82"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","33","0.33"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","3","",""
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Hindu, Traditional Temples","Hinduism","Hinduism Family","1","500","5.02"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","30","0.30"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","7","1,714","17.20"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","189","1.90"
"Missionary Church, The","Evangelical Protestant","Holiness Family","1","175","1.76"
"Muslim Estimate","Islam","Islam Family","2","1,024","10.28"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","1","150","1.51"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","4","3,760","37.74"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","1","",""
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","398","3.99"
"Reform Judaism","Judaism","Judaism Family","1","51","0.51"
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","1","56","0.56"
"Salvation Army","Evangelical Protestant","Holiness Family","1","141","1.42"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","517","5.19"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","7","650","6.52"
"United Methodist Church","Mainline Protestant","Methodist Family","6","974","9.78"
" "," "," ","76.0","36,588.0"," "
