"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","296","4.66"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","495","7.80"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","743","11.71"
"Baha'i Faith","Other","Other Groups Family","1","52","0.82"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","3","11,243","177.16"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","37","0.58"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","3","339","5.34"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","2","109","1.72"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","2,078","32.74"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","81","1.28"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","180","2.84"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","2","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","124","1.95"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","0","0.00"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","1","33","0.52"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","2","252","3.97"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","5","451","7.11"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","20","0.32"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","4","435","6.85"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","344","5.42"
"Salvation Army","Evangelical Protestant","Holiness Family","1","135","2.13"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","427","6.73"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","5","420","6.62"
"United Methodist Church","Mainline Protestant","Methodist Family","5","479","7.55"
" "," "," ","60.0","18,773.0"," "
