"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","3","217","13.47"
"Baha'i Faith","Other","Other Groups Family","0","7","0.43"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","20","1.24"
"Catholic Church","Catholic","Catholic Liturgical Family","3","1,096","68.02"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","25","1.55"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","243","15.08"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","257","15.95"
"Churches of Christ","Evangelical Protestant","Restorationists Family","1","25","1.55"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","83","5.15"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","174","10.80"
"New Apostolic Church USA","Other Christians","Other Groups Family","1","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","3","230","14.28"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","114","7.08"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","81","5.03"
" "," "," ","23.0","2,572.0"," "
