"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","2","328","0.69"
"American Baptist Association","Evangelical Protestant","Baptist Family","4","844","1.78"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","6","947","2.00"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","4","",""
"Apostolic Christian Church (Nazarene) - West Conference","Evangelical Protestant","Froehlich Churches Family","1","10","0.02"
"Apostolic Faith Mission of Portland, Oregon","Evangelical Protestant","Pentecostal Family","1","",""
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","500","1.06"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","36","7,085","14.98"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","68","0.14"
"Baha'i Faith","Other","Other Groups Family","1","291","0.62"
"Brethren in Christ Church","Evangelical Protestant","Friends/Brethren Family","1","",""
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","1,250","2.64"
"Buddhism, Theravada","Buddhism","Buddhism Family","2","1,599","3.38"
"Catholic Church","Catholic","Catholic Liturgical Family","29","172,153","363.87"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","3","739","1.56"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","0","0.00"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","4","971","2.05"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","1,100","2.33"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","5","840","1.78"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","15","964","2.04"
"Church of God in Christ","Black Protestant","Pentecostal Family","4","1,760","3.72"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","6","",""
"Church of Jesus Christ (Bickertonite)","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","14","8,162","17.25"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","20","5,460","11.54"
"Church of the United Brethren in Christ, USA","Evangelical Protestant","Methodist Family","1","25","0.05"
"Churches of Christ","Evangelical Protestant","Restorationists Family","19","1,791","3.79"
"Churches of God, General Conference","Evangelical Protestant","Presbyterian/Reformed Family","1","18","0.04"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","",""
"Conservative Congregational Christian Conference","Evangelical Protestant","Presbyterian/Reformed Family","1","157","0.33"
"Converge Worldwide","Evangelical Protestant","Baptist Family","4","",""
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","150","0.32"
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","3","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","110","0.23"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","3","80","0.17"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","3","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","840","1.78"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","1","30","0.06"
"Full Gospel Christian Assemblies International","Evangelical Protestant","Pentecostal Family","1","90","0.19"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","4","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","1","",""
"Grace Communion International","Evangelical Protestant","","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","8","1,376","2.91"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","31","8,380","17.71"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","5","703","1.49"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","3","838","1.77"
"Muslim Estimate","Islam","Islam Family","3","1,399","2.96"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","81","0.17"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","6","118","0.25"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","2","426","0.90"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","40","17,670","37.35"
"North American Lutheran Church","Evangelical Protestant","Lutheran Family","1","",""
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","18","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","6","414","0.88"
"Primitive Baptists Associations","Evangelical Protestant","Baptist Family","1","94","0.20"
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","9","1,717","3.63"
"Salvation Army","Evangelical Protestant","Holiness Family","1","476","1.01"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","15","4,105","8.68"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","26","3,841","8.12"
"Syrian (Syriac) Orthodox Church of Antioch","Orthodox","Eastern Liturgical (Orthodox) Family","1","40","0.08"
"The Church of God","Evangelical Protestant","","2","",""
"Unitarian Universalist Association","Other Christians","Liberal Family","2","56","0.12"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","85","0.18"
"United Methodist Church","Mainline Protestant","Methodist Family","9","2,068","4.37"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","10","",""
"United Reformed Churches in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","559","1.18"
"Wesleyan Church","Evangelical Protestant","Holiness Family","1","49","0.10"
" "," "," ","417.0","252,857.0"," "
