"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","108","1.95"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","2","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","5","1,522","27.49"
"Baha'i Faith","Other","Other Groups Family","1","39","0.70"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","53","0.96"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","5","14,728","266.02"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","57","1.03"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","1,425","25.74"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","40","0.72"
"Churches of Christ","Evangelical Protestant","Restorationists Family","4","212","3.83"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","22","0.40"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","310","5.60"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","210","3.79"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","94","1.70"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","289","5.22"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","12","3,491","63.05"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","59","1.07"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","52","0.94"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","109","1.97"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","130","2.35"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","3","1,059","19.13"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","4","492","8.89"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","80","1.44"
"United Methodist Church","Mainline Protestant","Methodist Family","4","326","5.89"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","66.0","24,907.0"," "
