"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","1","400","0.47"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","111","0.13"
"Anglican Church in America","Mainline Protestant","Anglican/Episcopal Family","1","",""
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","400","0.47"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","25","2,651","3.14"
"Association of Free Lutheran Congregations","Evangelical Protestant","Lutheran Family","1","",""
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","2","472","0.56"
"Baha'i Faith","Other","Other Groups Family","7","602","0.71"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","1,250","1.48"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","80","0.09"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","5","",""
"Catholic Church","Catholic","Catholic Liturgical Family","21","249,661","295.86"
"Chabad Judaism","Judaism","","10","",""
"Christadelphians","Other Christians","Other Groups Family","2","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","50","0.06"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","8","5,150","6.10"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","2","80","0.09"
"Church of Christ, Scientist","Other Christians","Christian Science Family","2","",""
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","8","715","0.85"
"Church of God in Christ","Black Protestant","Pentecostal Family","3","680","0.81"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","4","",""
"Church of Jesus Christ (Bickertonite)","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","34","19,822","23.49"
"Church of the Genuine Orthodox Christians of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","70","0.08"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","6","869","1.03"
"Churches of Christ","Evangelical Protestant","Restorationists Family","14","1,463","1.73"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","2","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","3","",""
"Conservative Judaism","Judaism","Judaism Family","2","1,072","1.27"
"Converge Worldwide","Evangelical Protestant","Baptist Family","4","",""
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","2","780","0.92"
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","3","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","9","2,521","2.99"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","2","400","0.47"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","9","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","10","4,585","5.43"
"Fellowship of Grace Brethren Churches","Mainline Protestant","Friends/Brethren Family","2","",""
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","2","21","0.02"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","2","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","1","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","900","1.07"
"Hindu Yoga and Meditation","Hinduism","","11","31,063","36.81"
"Hindu, Traditional Temples","Hinduism","Hinduism Family","3","1,370","1.62"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","21","18,402","21.81"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","48","11,068","13.12"
"Liberal Catholic Church, Province of the United States of America","Other Christians","Other Groups Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","10","2,145","2.54"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","2","120","0.14"
"Missionary Church, The","Evangelical Protestant","Holiness Family","7","2,463","2.92"
"Muslim Estimate","Islam","Islam Family","5","4,490","5.32"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","4","72","0.09"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","2","650","0.77"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","11","7,330","8.69"
"New Apostolic Church USA","Other Christians","Other Groups Family","1","",""
"New Testament Association of Independent Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","46","38,390","45.49"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","60","0.07"
"Orthodox Judaism","Judaism","Judaism Family","0","540","0.64"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","3","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","9","2,127","2.52"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","71","0.08"
"Primitive Baptists Associations","Evangelical Protestant","Baptist Family","1","50","0.06"
"Progressive National Baptist Convention, Inc.","Black Protestant","Baptist Family","1","1,200","1.42"
"Reform Judaism","Judaism","Judaism Family","2","2,452","2.91"
"Salvation Army","Evangelical Protestant","Holiness Family","2","162","0.19"
