"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","59","0.27"
"American Sikh Council","Other","Other Groups Family","1","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","265","1.22"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","10","1,283","5.93"
"Baha'i Faith","Other","Other Groups Family","3","214","0.99"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","2","1,060","4.90"
"Catholic Church","Catholic","Catholic Liturgical Family","9","47,237","218.28"
"Chabad Judaism","Judaism","","2","",""
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","122","0.56"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","39","0.18"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","40","0.18"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","71","0.33"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","7","4,081","18.86"
"Church of our Lord Jesus Christ of the Apostolic Faith, Inc.","Black Protestant","Pentecostal Family","1","180","0.83"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","2","530","2.45"
"Churches of Christ","Evangelical Protestant","Restorationists Family","6","350","1.62"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","2","",""
"Converge Worldwide","Evangelical Protestant","Baptist Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","679","3.14"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","3","652","3.01"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","4","569","2.63"
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","1","45","0.21"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Hindu Yoga and Meditation","Hinduism","","1","235","1.09"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","202","0.93"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","8","1,608","7.43"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","2","218","1.01"
"Muslim Estimate","Islam","Islam Family","3","5,334","24.65"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","7","2,390","11.04"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","1","",""
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","203","0.94"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","4","888","4.10"
"Reform Judaism","Judaism","Judaism Family","1","756","3.49"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","4","755","3.49"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","9","3,780","17.47"
"The Local Churches","Evangelical Protestant","","1","",""
"Unitarian Universalist Association","Other Christians","Liberal Family","1","419","1.94"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","2","260","1.20"
"United Methodist Church","Mainline Protestant","Methodist Family","3","789","3.65"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","2","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","122.0","75,313.0"," "
