"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","1","266","3.69"
"American Sikh Council","Other","Other Groups Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","7","714","9.90"
"Baha'i Faith","Other","Other Groups Family","0","59","0.82"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","1,250","17.32"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","3","12,138","168.22"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","166","2.30"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","56","0.78"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","110","1.52"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","74","1.03"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","2","21","0.29"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","5","3,096","42.91"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","2","156","2.16"
"Churches of Christ","Evangelical Protestant","Restorationists Family","3","158","2.19"
"Churches of God, General Conference","Evangelical Protestant","Presbyterian/Reformed Family","1","150","2.08"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","124","1.72"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","1","317","4.39"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","137","1.90"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","1","0.01"
"International Council of Community Churches","Mainline Protestant","Presbyterian/Reformed Family","1","",""
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","2","268","3.71"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","9","1,750","24.25"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","217","3.01"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","109","1.51"
"Salvation Army","Evangelical Protestant","Holiness Family","1","871","12.07"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","3","286","3.96"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","7","554","7.68"
"United Methodist Church","Mainline Protestant","Methodist Family","1","465","6.44"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
"Wesleyan Church","Evangelical Protestant","Holiness Family","1","92","1.28"
" "," "," ","66.0","23,605.0"," "
